id,b1
17,
53,
89,
125,0.0
161,0.012974993636102113
197,
233,
269,
305,
341,
377,
413,
449,
485,0.018500589260572076
521,0.016648649182740106
557,
593,
629,
665,
701,0.2488279454596827
737,0.14455069225766234
773,0.06118129369183698
809,
845,
15,
51,0.2505700234208219
87,0.2934825945727253
123,0.07234634215740254
159,0.27203048734603213
195,0.08903134968361989
231,
267,
303,
339,
375,
411,
447,
483,0.13327162471594067
519,0.2591842401634753
555,
591,
627,
663,0.4658724368844598
699,0.19131076064848937
735,0.007146453056949513
771,0.31633030065420553
807,0.7979055817681778
843,0.6897506945762587
13,0.30330272436998057
49,0.3945647696719741
85,0.40151919281744614
121,0.30503999234018947
157,0.13538692898921587
193,0.4714702422555511
229,0.12524961171510982
265,0.36530454439196
301,0.3490654151902445
337,
373,0.24015942369313742
409,0.3854363521780186
445,
481,
517,
553,0.5134417207767212
589,0.10578647035410337
625,0.25762625636841224
661,0.36365617990181437
697,0.6250752149008612
733,0.0024716011523824885
769,0.7427506180990191
805,0.9865519067897419
841,0.4513685778685677
11,
47,0.3236347604377515
83,0.23408682203832137
119,0.3458399319661347
155,0.38992441803600864
191,0.11773463029996353
227,0.3805899359609406
263,0.7173892973750235
299,
335,
371,
407,0.4427731448945357
443,
479,0.35503245098404873
515,0.28514693184912027
551,0.17262497946242014
587,
623,0.3931092283484382
659,0.3095112879952942
695,0.6763099540997485
731,0.5617223070480981
767,0.10046527760152528
803,0.43795240114036454
839,0.26209524316217475
9,0.6341629866906162
45,0.5376163936817991
81,0.3869952067563487
117,0.3007985954521069
153,0.7594001237458795
189,0.4688890296611296
225,0.2052895571168447
261,0.5255881641555998
297,0.18653491216430687
333,0.8939541353589819
369,0.5397826612453437
405,0.046019563680572285
441,0.5083405419385203
477,0.20060829360138902
513,0.46954787251906843
549,0.24678526057724595
585,0.5578262874591788
621,0.6293810522663645
657,0.49023580448556164
693,0.20387736693414996
729,0.15185145389690666
765,0.271686309002224
801,0.053531630895335615
837,
7,
43,
79,
115,
151,
187,0.332222019856379
223,0.43345293397229384
259,0.4473407923165917
295,0.418484602269345
331,0.4559061861441678
367,0.32082496920767045
403,0.10694555789282487
439,0.22819650091448793
475,0.06327198570192442
511,0.9253501924492769
547,0.485230297078841
583,0.29935282136495084
619,0.05787571341796214
655,0.3770130481744227
691,0.6904756439267032
727,0.5693827301469281
763,0.312022505954242
799,0.19273492047826038
835,
5,
41,
77,
113,0.19354502562729387
149,0.2565551951805827
185,0.13037865637816842
221,0.26424879883375363
257,0.39042511916344486
293,0.4514377792535878
329,0.4721696499312233
365,0.528426704170476
401,0.4297916835875892
437,0.8004226594761683
473,0.6630549505350892
509,0.9694208701275754
545,0.44392225254260964
581,0.23276742756509328
617,0.1910321371669047
653,0.18669299152253296
689,0.45679755174713954
725,1.213622815631354
761,0.14171258948241985
797,
833,
3,
39,
75,0.01973535606275252
111,
147,0.09810107566286022
183,0.09940885208689465
219,0.22946132835288705
255,0.22482148235721197
291,0.2713259339649908
327,0.35556977387665467
363,0.5161959665573531
399,0.477526827488058
435,0.7104927071095254
471,0.7918261506535677
507,0.6024159759426874
543,0.5795312268737436
579,0.658312131904184
615,0.6919095718930449
651,0.6378122420517932
687,
723,
759,
795,
831,
1,
37,
73,0.0
109,0.16127404339932663
145,0.1117765673908694
181,0.2065004114137786
217,0.09234341185556585
253,0.043118403087010364
289,0.15047816612073842
325,0.20877870191635148
361,0.44869584418944847
397,0.4785980336090484
433,0.23684345280375946
469,0.43340974969489554
505,0.9113881704250999
541,0.42576622435699135
577,0.42430039990603996
613,0.5638841118945408
649,0.5140007213544453
685,0.4713522078852264
721,
757,
793,
829,
36,
72,
108,
144,
180,
216,
252,
288,
324,
360,
396,
432,
468,
504,
540,
576,
612,
648,
684,
720,
756,
792,
828,
34,
70,
106,0.35620151411112444
142,0.0
178,
214,
250,
286,
322,
358,
394,
430,
466,0.0
502,0.04005978200890841
538,
574,
610,
646,
682,0.1286152296375333
718,0.2548517071742942
754,0.0
790,0.3618515009522464
826,1.0872275126110802
32,0.4529599869716214
68,0.6287648270458837
104,0.46424632801293714
140,0.25562194889087236
176,0.3203844855001844
212,0.0
248,
284,
320,
356,
392,
428,
464,0.06691673086914152
500,0.15656863621276695
536,0.3215617990565256
572,
608,
644,0.21597036903879824
680,0.31751985902770535
716,0.07586442996598006
752,0.2751166818326658
788,0.5043240114513797
824,0.3694048425789262
30,0.5044992583541411
66,0.41148533891891675
102,0.3723177970967209
138,0.06423455835041338
174,0.901881368666199
210,0.4835370642839199
246,
282,0.38515702409705954
318,
354,
390,0.34795173053113865
426,
462,
498,
534,0.6337640788555439
570,0.06309590518599012
606,0.2754455436195259
642,0.6848114370964832
678,0.2851689052076095
714,0.8681182469898708
750,0.6307406490336371
786,0.3946471271452434
822,0.6683181758238269
28,0.42266089024395065
64,0.4197588360936647
100,0.07195425020626049
136,0.5263882984100441
172,0.15517327629765398
208,0.3281781376271055
244,0.864304307375522
280,0.367685086199508
316,
352,
388,0.5676906868706506
424,0.011741722922689143
460,0.2447006025966188
496,0.417237294488364
532,0.2646087568924611
568,
604,0.2442977579396224
640,0.42382727186546426
676,0.5594617510418527
712,0.8134873600285502
748,0.25453619355450624
784,0.7488932047639164
820,
26,0.27308615150834026
62,0.30954112651935267
98,0.2625715499624482
134,0.039043764610750334
170,1.0845962862334362
206,0.48966241557139506
242,0.2444315511730497
278,0.5668982416099275
314,0.49383667233536044
350,0.7552582339287826
386,0.5875776135796125
422,0.4759628938799978
458,0.3499867838919674
494,
530,0.2013793283671728
566,0.6262790387973164
602,0.9272218507435348
638,0.38942178753137174
674,0.3116473125478958
710,0.07687212903606543
746,0.1351016716606752
782,0.11965172077380944
818,
24,
60,
96,
132,
168,0.18056139531540513
204,0.1891380440198475
240,0.47909595862757626
276,0.3932955639850085
312,0.3604146375360059
348,0.34473876730685454
384,0.4190935022518428
420,0.4729391971311948
456,0.3042486924998763
492,0.7621484921112546
528,0.5040894194207214
564,0.45774554429374964
600,0.17566587730790262
636,0.029044223711958514
672,0.7170872997810405
708,0.3063468851884791
744,0.7876979294812553
780,0.11125239557408485
816,
22,
58,
