id,agbd
33,
103,
173,
243,
313,
383,5434.45721333996
453,
523,
593,
663,
733,763.1587131319828
803,105557.94373595506
873,608.2039342814304
943,1668.325093671341
1013,16977.81626223925
1083,294.70880771031506
1153,300.1012059258076
1223,1405.838853550503
1293,1179.8851571401788
1363,376.66545919222574
1433,3005.2107178597353
1503,26187.804443342015
1573,579.0255996565321
1643,452.0265110228192
1713,343.9049382716049
1783,
1853,
1923,
1993,595.3146137787055
2063,
2133,
2203,
2273,
2343,
2413,
2483,
2553,
2623,
2693,1279.6810776942355
2763,1219.727134281903
2833,
2903,
2973,
3043,
3113,
3183,
3253,
29,
99,14111.12314836343
169,888.3494859252237
239,7937.164732599804
309,871.3609235989237
379,817.709802865704
449,465.5009415187291
519,2035.0272582107
589,6442.247257658667
659,1079.2242961626105
729,1823.6895190572618
799,
869,
939,
1009,
1079,
1149,
1219,
1289,
1359,
1429,
1499,
1569,
1639,
1709,
1779,10228.690909090908
1849,5683.142965688263
1919,933.2348109852489
1989,1708.6401223104535
2059,2487.666217671664
2129,
2199,
2269,
2339,
2409,
2479,990.7456739344568
2549,2157.0638927935
2619,2805.3954902374144
2689,1385.308908763701
2759,427.7699175091106
2829,1102.9755945757875
2899,
2969,2764.3506657495095
3039,3144.2323951857275
3109,4710.032431016979
3179,4371.9981565704575
3249,1546.643937296096
25,
95,3451.044941503597
165,1377.4199668079425
235,1780.7772677318655
305,6059.661283146823
375,1162.7645880003595
445,741.5920599895029
515,13035.606012234559
585,1038.8808004252085
655,870.8696039037335
725,1831.7933019851905
795,1792.3556538193518
865,
935,
1005,5727.504757910371
1075,1764.4992674917341
1145,1217.0737160613776
1215,
1285,
1355,
1425,
1495,892.2925920613845
1565,4101.465056035429
1635,
1705,
1775,
1845,
1915,
1985,
2055,
2125,1756.661903791218
2195,
2265,282.11541412773636
2335,
2405,1678.6646590433804
2475,3178.1683427207035
2545,7038.62627131535
2615,1341.9162227167558
2685,1534.781780538302
2755,1144.1366835764106
2825,391.2758535340254
2895,1188.240313549832
2965,7705.512330914883
3035,3907.554077684198
3105,5959.968298960869
3175,5693.240179557719
3245,4623.487337562115
21,
91,8641.866584710584
161,3828.272853657073
231,1187.8835454756309
301,1670.8353556096881
371,819.9551877346685
441,960.4657730057593
511,17870.835610509468
581,2753.128518075615
651,2136.124107099803
721,3098.521290252399
791,1277.8298192631596
861,2064.446800388522
931,1813.870848196851
1001,2329.127233772885
1071,1029.8536436631632
1141,
1211,
1281,
1351,
1421,
1491,936.24416953753
1561,4540.5157324979455
1631,
1701,
1771,1502.5060496067754
1841,2901.623328016581
1911,11555.038028832223
1981,2512.440449980478
2051,2003.3744139601574
2121,4413.983615699017
2191,
2261,
2331,
2401,1762.3039419010308
2471,5052.0716204847595
2541,4955.638680134657
2611,2686.1606881489993
2681,9176.01184374789
2751,8024.668644888077
2821,7083.077369170532
2891,10317.705564639802
2961,1317.5940894798873
3031,1632.7955176040466
3101,
3171,
3241,
17,
87,
157,7576.690155360481
227,4670.646427936092
297,10581.409358893085
367,4162.018996371985
437,
507,
577,
647,
717,11278.290480549096
787,26438.456826507383
857,1766.8127765540912
927,3129.596228330569
997,8567.96620900383
1067,2059.1199706563825
1137,4942.893165212971
1207,1807.6097125356766
1277,1312.4484146415996
1347,2773.1277996223494
1417,3378.525838228003
1487,
1557,
1627,5330.696458249692
1697,3139.7061788669907
1767,4118.524412131285
