id,b1
33,
103,
173,
243,
313,
383,0.1691400360041267
453,
523,
593,
663,
733,
803,
873,
943,
1013,
1083,
1153,
1223,
1293,
1363,
1433,
1503,
1573,
1643,
1713,
1783,
1853,0.011398771215116973
1923,
1993,0.03440414389718873
2063,
2133,
2203,
2273,
2343,
2413,
2483,
2553,
2623,
2693,3.307691997402252E-4
2763,0.22523632900701301
2833,
2903,
2973,0.0
3043,0.0
3113,
3183,
3253,
29,
99,0.3757791359919779
169,0.113271052871371
239,0.528048080118476
309,0.6265814942942748
379,0.4111265406287148
449,0.06167009059392302
519,0.16250764808518808
589,0.2728943869192204
659,0.3294535582731967
729,0.13188116315818704
799,
869,
939,
1009,
1079,
1149,
1219,
1289,
1359,
1429,
1499,
1569,
1639,
1709,
1779,0.05870891988490471
1849,0.08319790514971451
1919,0.1177605190012824
1989,0.21097871059487844
2059,0.5236077953571949
2129,0.06999158206858042
2199,
2269,
2339,
2409,
2479,0.2635515705632883
2549,0.26954499112557395
2619,0.5313690110147875
2689,0.38863040234347646
2759,0.03661102141916907
2829,0.03527325144864182
2899,
2969,0.7133164262750697
3039,0.4581581767476105
3109,0.6117299472326752
3179,0.5778141908812372
3249,0.4810157072357236
25,
95,0.5773858329394242
165,0.5279981064748663
235,0.3154184021392957
305,0.4413264395576577
375,0.4110944969146586
445,0.23829808616947276
515,0.052384259016538454
585,0.06192184409978205
655,0.7663183841554267
725,0.8608267959418162
795,0.34133271091749107
865,0.12524961171510982
935,
1005,0.8370208245123145
1075,0.2592861557603334
1145,0.4136872650338258
1215,
1285,
1355,
1425,
1495,0.19886608365528047
1565,0.48637875004428865
1635,
1705,
1775,
1845,
1915,
1985,
2055,0.14610589946179062
2125,0.2978867262866758
2195,
2265,0.1365310286130103
2335,
2405,0.30622926390022814
2475,0.6371663949749935
2545,0.7362995236145127
2615,0.12469094832859272
2685,0.45756970914572503
2755,0.5286055242688373
2825,6.701538269488347E-4
2895,0.2752938261931153
2965,0.9472256772396916
3035,0.6320519233755033
3105,0.8382686979023264
3175,0.9488602061227824
3245,0.44690933551091117
21,
91,0.41124690079017456
161,0.30770823987041984
231,0.3464135327506733
301,0.44540594827465846
371,0.0711432025803936
441,0.22461540493397822
511,0.2375795605410596
581,0.998219270827027
651,0.30903628120929405
721,0.09947917203118241
791,0.10463909688988578
861,0.19066258061367639
931,0.5843210198289598
1001,0.7477179072542934
1071,0.6313346849654917
1141,
1211,
1281,
1351,
1421,
1491,0.3313825341316054
1561,0.6264961155547915
1631,
1701,
1771,0.039505430230783296
1841,0.25000304592861566
1911,0.4573412046298205
1981,0.455016200836622
2051,0.15706048173834
2121,0.6424520767078636
2191,
2261,
2331,
2401,0.32226700211350373
2471,0.34704321505602603
2541,0.484437457297921
2611,0.2586867621968109
2681,0.7758627910297532
2751,1.515017350732244
2821,0.9500789708872032
2891,0.48199058141846324
2961,0.09096799851065263
3031,0.49406177538557833
3101,0.48422613379493123
3171,
3241,
17,
87,
157,0.5946740406553959
227,0.3028987573044241
297,0.5656809318785382
367,0.2543888893073542
437,
507,0.03904330575210139
577,
647,
717,0.7986874216994584
787,0.3198002131970194
857,0.12619542107267662
927,0.1686670496504978
997,0.47114708202010613
1067,0.49464976836196534
1137,0.2891804285067323
1207,0.32374248020042296
1277,0.7232324120593537
1347,1.0254338467262631
1417,0.7091220108902354
1487,
1557,
1627,0.33440477851477834
