id,agbd
33,
103,
173,
243,
313,
383,25.338426464881643
453,
523,
593,
663,
733,14.418367346938776
803,9.856810118158506
873,12.376992847724456
943,30.44747081712062
1013,16.550864100549884
1083,14.457627118644067
1153,14.458333333333334
1223,14.445454545454545
1293,13.437614919884421
1363,12.0
1433,13.0
1503,18.503937007874015
1573,13.343992839993751
1643,9.0
1713,9.0
1783,
1853,51.0
1923,
1993,34.3859649122807
2063,
2133,
2203,
2273,
2343,
2413,
2483,
2553,
2623,
2693,36.0
2763,30.5
2833,
2903,
2973,37.0
3043,
3113,
3183,
3253,
29,
99,41.46153846153846
169,16.0
239,33.424367648272955
309,37.97927427840454
379,43.276998788888505
449,9.104390649043607
519,25.46812749003984
589,43.18321184240012
659,25.44054200387552
729,22.515625
799,
869,
939,
1009,
1079,
1149,
1219,
1289,
1359,
1429,
1499,
1569,
1639,
1709,
1779,40.5
1849,33.15217391304348
1919,34.68214073217827
1989,41.45263915441581
2059,65.5
2129,34.0
2199,
2269,
2339,
2409,
2479,40.499981501350405
2549,41.35052868476306
2619,54.80740967925745
2689,33.31703703703704
2759,17.416
2829,37.63237888103026
2899,
2969,57.47104607721047
3039,37.43763869781333
3109,53.45047032276059
3179,43.33566759411351
3249,23.180797526629355
25,
95,51.291662612002305
165,43.25165505589169
235,20.466664303375666
305,18.496613721262186
375,34.466530505099655
445,33.0
515,14.513513513513514
585,13.422343324250681
655,35.20801115121735
725,43.16524434694792
795,60.405797101449274
865,
935,
1005,81.5
1075,34.46894156109522
1145,44.99999999999999
1215,
1285,
1355,
1425,
1495,38.0
1565,59.274988460130416
1635,
1705,
1775,
1845,
1915,
1985,
2055,67.0
2125,59.61087866108787
2195,
2265,14.0
2335,
2405,58.413333333333334
2475,59.45331864718374
2545,101.51476793248945
2615,35.09488763370965
2685,78.0
2755,54.0
2825,24.583333333333332
2895,27.5
2965,51.32647453722386
3035,43.239361015538414
3105,35.19903123551613
3175,55.09115944424898
3245,22.549243472684733
21,
91,59.4589325092954
161,51.27104462171048
231,45.42457734382064
301,35.260185185185186
371,14.452702702702704
441,34.497682502896865
511,20.495283018867923
581,71.63886175874264
651,17.378569738892107
721,19.17599771527697
791,17.394285714285715
861,28.273165873881076
931,55.16448961756485
1001,83.46402759609897
1071,53.0
1141,
1211,
1281,
1351,
1421,
1491,40.0
1561,71.0911132907554
1631,
1701,
1771,33.0
1841,57.34101382488479
1911,93.54117647058824
1981,37.68522996563689
2051,34.451226861816615
2121,48.325
2191,
2261,
2331,
2401,54.66924825603423
2471,35.06654797504019
2541,37.41379310344828
2611,24.46479105744741
2681,93.51690821256038
2751,179.54558322153434
2821,147.3289641013706
2891,62.65693430656934
2961,28.50602409638554
3031,33.27655598840369
3101,
3171,
3241,
17,
87,
157,83.73103859118913
227,60.60950104571258
297,117.66666666666667
367,73.0
437,
507,82.0
577,
647,
717,83.24623262009825
787,103.90166782158012
857,51.27716731651253
927,56.405797101449274
997,113.43434343434343
1067,53.35108408059669
1137,41.459508528964705
1207,46.48807793356867
1277,44.46978069206022
1347,67.46587460059578
1417,99.76652241149885
1487,
1557,
1627,109.62460181328106
1697,59.33355687031512
1767,102.54054054054055
1837,43.10912030050598
1907,48.2
1977,
2047,33.0
2117,9.95042352317654
2187,36.46944444444444
2257,111.94440665463439
2327,123.64651956976607
2397,103.50728155339806
2467,105.77670339554756
2537,74.47619047619048
2607,75.20833333333333
