id,rh98
33,0
103,0
173,0
243,0
313,0
383,12095
453,0
523,0
593,0
663,0
733,3807
803,1913
873,2892
943,8078
1013,962
1083,1805
1153,714
1223,9865
1293,9620
1363,1417
1433,2046
1503,2987
1573,8441
1643,884
1713,297
1783,0
1853,0
1923,0
1993,323
2063,0
2133,0
2203,0
2273,0
2343,0
2413,0
2483,0
2553,0
2623,0
2693,237
2763,527
2833,0
2903,0
2973,16
3043,0
3113,0
3183,0
3253,0
29,0
99,7439
169,6295
239,23265
309,40998
379,20370
449,11832
519,33045
589,18333
659,11697
729,4924
799,0
869,0
939,0
1009,0
1079,0
1149,0
1219,0
1289,0
1359,0
1429,0
1499,0
1569,0
1639,0
1709,0
1779,161
1849,6419
1919,18029
1989,30839
2059,5968
2129,4
2199,0
2269,0
2339,0
2409,0
2479,5742
2549,14302
2619,24750
2689,10617
2759,4911
2829,1817
2899,0
2969,8599
3039,19569
3109,28926
3179,15464
3249,25355
25,0
95,23353
165,34234
235,29875
305,34649
375,18344
445,12223
515,1398
585,5878
655,30634
725,34871
795,11831
865,0
935,0
1005,5667
1075,8651
1145,5949
1215,0
1285,0
1355,0
1425,0
1495,3601
1565,43953
1635,0
1705,0
1775,0
1845,0
1915,0
1985,0
2055,154
2125,37742
2195,0
2265,378
2335,0
2405,9056
2475,34255
2545,37901
2615,18898
2685,163
2755,390
2825,863
2895,117
2965,25852
3035,18290
3105,29548
3175,32823
3245,11246
21,0
91,17041
161,22838
231,17820
301,22034
371,4336
441,9916
511,16260
581,34359
651,17531
721,7574
791,9398
861,14972
931,25102
1001,39259
1071,1927
1141,0
1211,0
1281,0
1351,0
1421,0
1491,574
1561,27633
1631,0
1701,0
1771,113
1841,30669
1911,37623
1981,29356
2051,5239
2121,5467
2191,0
2261,0
2331,0
2401,19871
2471,25415
2541,28007
2611,10896
2681,41168
2751,63007
2821,47299
2891,26899
2961,4515
3031,31774
3101,14
3171,0
3241,0
17,0
87,0
157,12931
227,2547
297,267
367,1306
437,0
507,9
577,0
647,0
717,20233
787,15472
857,12352
927,17171
997,34902
1067,19956
1137,13129
1207,22315
1277,47909
1347,59879
1417,26276
1487,0
1557,0
1627,6669
1697,19091
1767,36031
1837,22210
1907,716
1977,0
2047,2045
2117,15108
2187,18258
2257,34244
2327,28643
2397,33366
2467,25622
2537,26356
2607,28120
2677,4677
2747,4650
2817,4175
2887,3732
2957,14970
3027,12453
3097,2962
3167,0
3237,0
13,0
83,0
153,0
223,0
293,0
363,0
433,0
503,0
573,0
643,0
713,7527
783,12482
853,20707
923,22635
993,26040
1063,18383
1133,15877
1203,12636
1273,30300
1343,30285
1413,10026
1483,39281
1553,25125
1623,33029
1693,46078
1763,20626
1833,4734
1903,14936
1973,37737
2043,45993
2113,21019
2183,22825
2253,12346
2323,13203
2393,1249
2463,1251
2533,8823
2603,42544
2673,33854
2743,32827
2813,19053
2883,20324
2953,50464
3023,4738
3093,7022
3163,3670
3233,1833
9,0
79,0
149,0
219,0
289,0
359,0
429,948
499,9853
569,27220
639,21148
709,13388
779,20722
849,11416
919,15456
989,31510
1059,30612
1129,25454
1199,41097
1269,27697
1339,33208
1409,19081
1479,27682
1549,16691
1619,17570
1689,34069
1759,36096
1829,21564
1899,24504
1969,37634
2039,43000
2109,31759
2179,12896
2249,12522
2319,44161
2389,11336
2459,14766
2529,6867
2599,10788
2669,18500
2739,48446
2809,35801
2879,29241
2949,12485
3019,11690
3089,9344
3159,13228
3229,9440
5,0
75,0
145,0
215,0
285,159
355,4
425,0
495,0
565,0
635,1661
705,26
775,0
845,11276
915,22172
985,13821
1055,13219
1125,21135
1195,38719
1265,33575
1335,34922
1405,47152
1475,20676
1545,43585
1615,14542
1685,30013
1755,34787
1825,34695
1895,42312
1965,24422
2035,19703
2105,23383
2175,22589
2245,27891
2315,35663
2385,53207
2455,53415
2525,46392
2595,48484
2665,18849
2735,25767
2805,31681
2875,13291
2945,7521
3015,7217
3085,12206
3155,9054
3225,9961
1,57603
71,39830
141,2128
211,0
281,0
351,1391
421,30002
491,81767
561,74926
631,48079
701,46267
771,48995
841,28062
911,16
981,0
1051,2
1121,11404
1191,33087
1261,65666
1331,60015
1401,43612
1471,41939
1541,94039
1611,80230
1681,93311
1751,23085
1821,79489
1891,117299
1961,97084
2031,115047
2101,68994
2171,43267
2241,52334
2311,75441
2381,65740
2451,76457
2521,120890
2591,78323
2661,81937
2731,151365
2801,86751
2871,110323
2941,112039
3011,102186
3081,126516
3151,122043
3221,113566
67,0
137,0
207,0
277,0
347,5422
417,0
487,0
557,0
627,0
697,0
767,689
837,3251
907,7112
977,5799
1047,7945
1117,5764
1187,7204
1257,4150
1327,3086
1397,2808
1467,2126
1537,5874
1607,9665
1677,548
1747,0
1817,0
1887,0
1957,98
2027,0
2097,0
2167,0
2237,0
2307,0
2377,0
2447,0
2517,0
2587,0
2657,186
2727,0
2797,0
2867,0
2937,0
3007,814
3077,21037
3147,0
3217,4680
63,0
133,18923
203,18577
273,30158
343,42867
413,49246
483,16251
553,21007
623,23956
693,11008
763,914
833,0
903,0
973,0
1043,0
1113,0
1183,0
1253,0
1323,0
1393,0
1463,0
1533,0
1603,0
1673,0
1743,0
1813,1109
1883,12789
1953,12481
2023,25864
2093,14527
2163,0
