id,rh98
17,0
53,0
89,28834
125,8006
161,1558
197,14543
233,24886
269,3984
305,3430
341,35685
377,12670
413,6902
449,514
485,41
521,151
557,0
593,0
629,0
665,0
701,16209
737,22946
773,2510
809,0
845,0
15,0
51,49830
87,82651
123,57944
159,68512
195,6765
231,0
267,0
303,0
339,1590
375,0
411,8785
447,96
483,18945
519,56061
555,0
591,0
627,0
663,97654
699,18340
735,6484
771,16212
807,135738
843,102486
13,23216
49,86228
85,89201
121,55037
157,18983
193,78198
229,0
265,18869
301,2885
337,0
373,256
409,46902
445,0
481,0
517,0
553,106389
589,2367
625,43197
661,101306
697,22336
733,2889
769,114547
805,102978
841,55234
11,0
47,74992
83,39549
119,44994
155,80395
191,43912
227,56753
263,47317
299,0
335,0
371,0
407,21861
443,0
479,81260
515,55978
551,15536
587,0
623,104407
659,92988
695,172484
731,113365
767,32502
803,31213
839,7566
9,3956
45,99761
81,68809
117,35650
153,32362
189,102499
225,53261
261,112100
297,27582
333,143541
369,21310
405,235
441,118041
477,82362
513,841
549,66232
585,129409
621,136622
657,106234
693,48339
729,35512
765,62937
801,3799
837,0
7,0
43,0
79,0
115,0
151,0
187,54054
223,143626
259,137674
295,97734
331,115750
367,123311
403,51436
439,54639
475,10252
511,177226
547,103212
583,78284
619,20206
655,75887
691,81597
727,105814
763,76672
799,21679
835,164
5,0
41,0
77,0
113,9322
149,44477
185,42345
221,66779
257,108446
293,99236
329,114565
365,147561
401,100063
437,117842
473,146461
509,165255
545,68061
581,60920
617,63691
653,33058
689,86725
725,145785
761,40877
797,56841
833,18855
3,0
39,0
75,70
111,0
147,2592
183,19693
219,86102
255,81433
291,81714
327,105969
363,109229
399,119393
435,121692
471,129014
507,99837
543,129130
579,167604
615,172408
651,190340
687,102471
723,57035
759,29479
795,23798
831,34892
1,158222
37,102
73,0
109,109756
145,195224
181,217112
217,69779
253,3706
289,105475
325,186492
361,240714
397,329170
433,193563
469,241960
505,361438
541,205997
577,152334
613,245514
649,235726
685,285758
721,285197
757,286282
793,342631
829,276598
36,0
72,14646
108,36749
144,2171
180,969
216,38
252,105
288,116
324,198
360,97
396,1939
432,684
468,0
504,0
540,0
576,0
612,0
648,0
684,0
720,0
756,0
792,0
828,0
34,0
70,0
106,15175
142,0
178,0
214,12381
250,50769
286,23810
322,31040
358,19886
394,22658
430,7084
466,0
502,1164
538,0
574,0
610,0
646,0
682,3089
718,908
754,463
790,17581
826,20316
32,55841
