id,agbd
2677,34.58974358974359
2747,38.455089820359284
2817,43.1084816289761
2887,35.056581816820426
2957,53.486666666666665
3027,45.0
3097,38.520369393139845
3167,
3237,
13,
83,
153,
223,
293,
363,
433,
503,
573,
643,
713,92.41666666666667
783,68.60655737704919
853,82.51136363636364
923,91.3514306676449
993,109.44285714285714
1063,66.53703703703704
1133,85.50331125827815
1203,56.6
1273,125.6029411764706
1343,55.02995886654479
1413,71.2556795049263
1483,106.65
1553,54.74421094900281
1623,121.48648648648648
1693,91.92405063291139
1763,41.40268456375839
1833,38.509161576901725
1903,66.41763233521831
1973,151.42561983471074
2043,155.29032258064515
2113,113.78787878787878
2183,93.47222222222223
2253,61.358333333333334
2323,67.22522522522523
2393,40.0
2463,52.0
2533,36.4
2603,33.0
2673,137.64285714285714
2743,147.0
2813,103.74438887281444
2883,81.16666666666667
2953,173.46089362058848
3023,38.526315789473685
3093,32.44205069512236
3163,21.18918918918919
3233,14.0
9,
79,
149,
219,
289,
359,
429,44.523809523809526
499,81.4407894736842
569,72.41909347788479
639,66.58370924088156
709,46.51006711409396
779,87.43966712898752
849,68.47872340425532
919,115.97060389187911
989,68.33333333333333
1059,74.68354430379746
1129,73.39583333333333
1199,87.83525255168804
1269,101.26666666666667
1339,163.49685534591194
1409,117.42857142857143
1479,177.67543859649123
1549,115.93684210526315
1619,139.42
1689,155.7515705999759
1759,151.21945380234962
1829,135.45090095465395
1899,123.41722111811977
1969,151.570978745736
2039,151.1941638608305
2109,123.5373665480427
2179,48.50704225352113
2249,53.47450172244095
2319,60.50476694915255
2389,83.14492753623189
2459,46.42622950819672
2529,44.45945945945946
2599,48.36734693877551
2669,36.54545454545455
2739,82.30434782608695
2809,155.5185786298022
2879,131.77140809745612
2949,43.2552299501111
3019,34.82997548184649
3089,37.0
3159,29.0
3229,32.525
5,
75,
145,
215,
285,45.0
355,43.0
425,
495,
565,
635,44.48987757061695
705,38.0
775,
845,73.44680851063829
915,70.93956062689654
985,83.49402390438247
1055,86.773601455396
1125,70.829359907224
1195,122.47826086956522
1265,125.35227272727273
1335,147.5095238095238
1405,107.73762376237623
1475,67.70101751064837
1545,179.52482269503545
1615,75.35398230088495
1685,183.69065739331384
1755,171.66239316239316
1825,155.48289451692077
1895,135.5208801022997
1965,87.58571428571429
2035,105.44805194805195
2105,139.71678321678323
2175,99.54762320866831
2245,73.3910485021398
2315,75.64855193632533
2385,123.19736842105263
2455,89.52631578947368
2525,58.51923076923077
2595,103.64583333333333
2665,58.375
2735,73.46296296296296
2805,48.5
2875,51.3739837398374
2945,52.38095238095238
3015,54.418005071851226
