id,rh98
17,0
53,105
89,79726
125,18167
161,8436
197,92216
233,86948
269,149196
305,128435
341,145045
377,121465
413,163581
449,26140
485,6244
521,16259
557,0
593,0
629,0
665,0
701,20562
737,54554
773,4216
809,0
845,0
15,0
51,120245
87,159223
123,194516
159,123386
195,28089
231,0
267,0
303,0
339,2564
375,0
411,16033
447,71
483,72200
519,128567
555,0
591,0
627,0
663,112047
699,25850
735,23000
771,32007
807,186474
843,115307
13,24694
49,226615
85,183129
121,122099
157,152640
193,181139
229,0
265,34686
301,19953
337,0
373,1241
409,34891
445,0
481,0
517,0
553,126149
589,14523
625,52629
661,170276
697,28022
733,9190
769,104821
805,209975
841,107733
11,0
47,115473
83,130204
119,199570
155,130440
191,164814
227,143999
263,80813
299,4869
335,254
371,0
407,30089
443,0
479,86990
515,189935
551,22016
587,0
623,183003
659,161150
695,149645
731,162326
767,126695
803,57113
839,12639
9,1744
45,112192
81,58991
117,30997
153,27052
189,119971
225,130810
261,149467
297,69616
333,162804
369,12709
405,186
441,123718
477,138799
513,429
549,126120
585,182271
621,151801
657,143856
693,129131
729,161735
765,183072
801,27804
837,0
7,0
43,0
79,0
115,0
151,0
187,168572
223,177379
259,181561
295,194402
331,122330
367,112423
403,121816
439,141203
475,49620
511,134794
547,137884
583,129669
619,109742
655,181154
691,138243
727,120111
763,173911
799,142555
835,7401
5,0
41,0
77,0
113,12878
149,142429
185,165915
221,160452
257,155401
293,194260
329,183625
365,176344
401,121620
437,119559
473,119333
509,127891
545,190408
581,189979
617,204025
653,208265
689,206093
725,174409
761,228776
797,213937
833,179691
3,0
39,0
75,54
111,0
147,1938
183,80989
219,206661
255,230485
291,208356
327,179171
363,213617
399,229391
435,228616
471,238589
507,245014
543,222818
579,252758
615,229842
651,221828
687,224121
723,246693
759,245829
795,213324
831,259952
1,267132
37,1644
73,0
109,253207
145,557671
181,647730
217,289538
253,53595
289,386934
325,604599
361,571639
397,559130
433,624270
469,629522
505,638156
541,641493
577,667872
613,684751
649,709862
685,692397
721,708255
757,675502
793,663860
829,604175
36,614
72,78745
108,132450
144,140481
180,132643
216,154386
252,128151
288,156823
324,162592
360,175125
396,152078
432,37735
468,0
504,0
540,0
576,0
612,0
648,0
684,0
720,0
756,0
792,0
828,0
34,59833
70,0
106,32041
142,0
178,0
214,74244
250,96035
286,155659
322,100320
358,151653
394,94294
430,131580
466,1
502,4635
538,0
574,0
610,0
646,0
682,4025
718,1541
754,371
790,29236
826,35598
32,114612
68,172556
104,157999
140,196977
176,117736
212,2
248,0
284,0
320,0
356,0
392,67
428,0
464,11344
500,70915
536,53066
572,0
608,0
644,37602
680,90542
716,55845
752,22200
788,128973
824,168633
30,118909
66,195244
102,97297
138,139171
174,178146
210,86150
246,0
282,8083
318,0
354,0
390,96453
426,0
462,6
498,0
534,85945
570,23128
606,4135
642,151853
678,112414
714,9890
750,68304
786,117108
822,149263
28,118414
64,128693
100,160689
136,132370
172,138540
208,162443
244,163322
280,13856
316,0
352,0
388,69536
424,0
460,87963
496,137189
532,63682
568,0
604,62178
640,181496
676,168216
712,164032
748,125099
784,97221
820,0
26,580
62,4429
98,0
134,45
170,23888
206,137734
242,147568
278,172000
314,196538
350,121795
386,11243
422,113211
458,126116
494,0
530,106592
566,136271
602,189355
638,154772
674,140803
710,188046
746,133917
782,138409
818,0
24,0
60,0
96,0
132,0
168,17247
204,154837
240,206059
276,173055
312,168393
348,94624
384,107222
420,93378
456,118977
492,134638
528,170742
564,108798
600,164805
636,148649
672,177488
708,151887
744,211504
780,164890
816,185520
22,0
58,0
94,2823
130,139559
166,199351
202,171488
238,180083
274,228445
310,196549
346,190933
382,190770
418,165026
454,175010
490,149242
526,180076
562,180003
598,208652
634,180608
670,195133
706,182601
742,196675
778,218477
814,229939
20,0
56,109
92,49455
128,15208
164,26676
200,16802
236,187821
272,204705
308,225218
344,208551
380,281027
416,222082
452,215835
488,211551
524,266476
560,272140
596,249521
632,288890
668,316954
704,292425
740,281476
776,299328
812,294235
18,0
54,0
90,109224
126,122953
162,132950
198,147335
234,158540
270,88969
306,158903
342,142492
378,154181
414,155153
450,1520
486,16
522,383
558,0
594,0
630,0
666,0
702,2
738,5129
774,0
810,0
846,0
16,1410
52,34067
88,108880
124,32223
160,23368
196,5
232,48346
268,62273
304,96439
340,119684
376,123628
412,148235
448,3642
484,0
520,35803
556,0
592,0
628,0
664,13592
700,3992
736,7102
772,9320
808,22273
844,112817
14,31669
50,148054
86,174672
122,184458
158,147420
194,108570
230,1375
266,0
302,108
338,0
374,0
410,0
446,0
482,9329
518,10634
554,66768
590,0
626,2555
662,119586
698,136536
734,655
770,121333
806,123874
842,179365
12,0
48,142205
84,144906
120,130665
156,182935
192,136879
228,18658
264,0
300,807
336,0
372,7217
408,79816
444,0
480,118
516,77732
552,141572
588,64926
624,146445
660,182713
696,107455
732,11816
768,135857
804,41229
840,172604
10,5993
46,137609
82,180471
118,123112
154,79212
190,134540
226,132405
262,111458
298,0
334,13619
370,0
406,44094
442,86107
478,135161
514,9998
550,5274
586,79303
622,126757
658,182524
694,140452
730,140157
766,146333
802,0
838,0
8,0
44,0
80,0
116,0
152,0
188,143576
224,162422
260,162191
296,189336
332,164634
368,137440
404,125611
440,135374
476,0
512,51754
548,132677
584,158882
620,166274
656,145513
692,181513
728,154492
764,119780
800,96995
836,0
6,0
42,0
78,0
114,0
150,1623
186,151454
222,134640
258,209630
294,151648
330,168585
366,82739
402,91045
438,133416
474,115429
510,135233
546,145353
582,155742
618,154590
654,166212
690,179364
726,221186
762,198411
798,185123
834,160601
4,0
40,0
76,0
112,101878
148,97905
184,187207
220,208058
256,214905
292,207493
328,180924
364,170454
400,180684
436,183710
472,209027
508,194942
544,208550
580,225992
616,190527
652,197571
688,182183
724,189967
760,173287
796,192402
832,224478
2,0
38,0
74,3582
110,172117
146,82571
182,56231
218,19488
254,204872
290,236512
326,319688
362,304604
398,292221
434,232157
470,264490
506,266555
542,308817
578,353530
614,301658
650,367728
686,379510
722,337125
758,310131
794,359137
830,326167
35,0
71,0
107,122536
143,105840
179,98471
215,101142
251,128574
287,108617
323,168464
359,111256
395,163012
431,151026
467,1373
503,12870
539,0
575,0
611,0
647,0
683,4
719,26406
755,25034
791,0
827,0
33,72588
69,42177
105,167814
141,128744
177,34023
213,0
249,4502
285,37910
321,16227
357,74983
393,79797
429,35168
465,2291
501,53138
537,3045
573,0
609,0
645,17
681,77609
717,7613
753,4145
789,94823
825,130918
31,166212
67,196842
103,164603
139,136249
175,162154
211,40968
247,8598
283,950
319,16471
355,0
391,67031
427,0
463,2
499,0
535,14374
571,16486
607,0
643,107126
679,150869
715,9640
751,24863
787,186177
823,140230
29,89740
65,111815
101,193005
137,173506
173,134840
209,149636
245,57729
281,762
317,0
353,0
389,71052
425,0
461,2495
497,87659
533,149990
569,41400
605,32623
641,162421
677,143791
713,88718
749,140472
785,65034
821,54364
27,106929
63,156453
99,111973
135,45864
171,104224
207,118821
243,104517
279,18387
315,18533
351,3069
387,14960
423,57382
459,174328
495,61142
531,2436
567,110767
603,149018
639,150844
675,163288
711,135205
747,196789
783,81988
819,0
25,0
61,0
97,0
133,0
169,8416
205,187441
241,172781
277,194642
313,164618
349,115495
385,118156
421,143564
457,81022
493,76738
529,126889
565,130132
601,125538
637,136860
673,161947
709,156072
745,155458
781,158572
817,43271
23,0
59,0
95,0
131,3742
167,166568
203,162906
239,173081
275,172237
311,175250
347,143472
383,96643
419,90961
455,116213
491,129599
527,172721
563,171551
599,152788
635,166083
671,205259
707,209185
743,231267
779,201298
815,188748
21,0
57,23136
93,0
129,54060
165,111394
201,212086
237,243316
273,215112
309,159112
345,198802
381,158977
417,214913
453,265672
489,250067
525,196077
561,227233
597,218082
633,227847
669,217129
705,203446
741,171442
777,193506
813,200523
19,0
55,4
91,9376
127,253132
163,359664
199,364041
235,121804
271,289929
307,343871
343,306354
379,402524
415,416607
451,390920
487,402448
523,389996
559,387407
595,375593
631,483531
667,444932
703,495038
739,479427
775,452021
811,499439
