id,agbd
33,
103,
173,
243,
313,
383,2179.093848030584
453,
523,
593,
663,
733,1300.3100296204325
803,2007.2385558401566
873,130.210989010989
943,1758.8954385964914
1013,678.1417185763124
1083,1020.7493307930049
1153,1592.613452316124
1223,1515.3525133274943
1293,1066.6744736328667
1363,
1433,200.7697478991597
1503,404.7847330369448
1573,601.8437101946156
1643,2080.4716359656245
1713,526.1333080068019
1783,
1853,
1923,
1993,152.3901234567902
2063,
2133,
2203,
2273,
2343,
2413,
2483,
2553,
2623,
2693,1633.4309008286552
2763,387.53333333333336
2833,
2903,
2973,3.3000000000000114
3043,
3113,
3183,
3253,
29,
99,43943.33982787661
169,
239,1111.4381712065046
309,779.3808724440808
379,2006.849974595819
449,773.2491261108005
519,3450.394762213104
589,4655.621221792585
659,
729,2254.6306368701325
799,
869,
939,
1009,
1079,
1149,
1219,
1289,
1359,
1429,
1499,
1569,
1639,
1709,
1779,20477.09802491303
1849,1828.5612224287897
1919,1491.9499858930196
1989,3017.747359412371
2059,3525.092334494774
2129,
2199,
2269,
2339,
2409,
2479,1214.3920343315935
2549,
2619,3067.172396994468
2689,1877.066931950642
2759,739.0652722229859
2829,4182.648277504054
2899,
2969,4396.109133682542
3039,3720.041216578564
3109,5698.26920602197
3179,3247.867431768296
3249,2182.819662312738
25,
95,7887.915833359358
165,4217.515936243872
235,3059.223701426394
305,1347.6020980333774
375,939.0176919265548
445,615.8602968885366
515,767.6595928071238
585,327.11497672432773
655,3414.08453566987
725,4565.104124995012
795,2708.270067572718
865,
935,
1005,5551.155437015463
1075,1450.1745739984776
1145,1208.050474883728
1215,
1285,
1355,
1425,
1495,6450.493093178553
1565,7254.754802250999
1635,
1705,
1775,
1845,
1915,
1985,
2055,799.5196078431372
2125,2491.051726185676
2195,
2265,481.3212920237311
2335,
2405,1840.2534010527763
2475,4818.840561716524
2545,6096.367127905339
2615,1841.7840281324493
2685,1680.6063348416287
2755,1558.3550992587543
2825,503.5344483947425
2895,388.1804608893217
2965,9131.654012686815
3035,2685.8947880040264
3105,5041.850883660098
3175,5024.6297745295105
3245,1690.1724083954002
21,
91,3582.4650112738022
161,2435.268225736393
231,2350.366081047844
301,3721.585733210178
371,658.7905678216447
441,65499.03555065115
511,2600.1429864556217
581,3203.84348565919
651,20775.433602052402
721,9215.393904523731
791,20287.961107640902
861,3137.503188552228
931,9281.116568727693
1001,3205.9449763227744
1071,6609.71393291155
1141,
1211,
1281,
1351,
1421,
1491,717.4975625651722
1561,5853.430032494431
1631,
1701,
1771,963.9586321934945
1841,3825.7019960582056
1911,5024.931184330447
1981,2655.8201578199387
2051,1968.5835149862949
2121,4541.933180506028
2191,
2261,
2331,
2401,2318.784169540872
2471,7389.766293461443
2541,13924.33105688632
2611,3724.9095618283473
2681,9205.46117392131
2751,8160.954858399784
2821,7745.0098676970765
2891,3946.9704926815953
2961,825.3705729920297
3031,11033.427176275896
3101,3728.25
3171,
3241,
17,
87,
157,5330.517147519988
227,6761.240194740196
297,5714.8308974136835
367,5108.929972452192
437,
507,548.7878787878785
577,
647,
717,3735.73748112981
787,5681.974080218576
857,2285.477215883994
927,12554.804801592649
997,8662.435724606645
1067,2784.7364903445555
1137,769.1870180698272
1207,1648.7580056120999
1277,5332.965286508558
1347,3766.1187432654565
1417,6844.502198984392
1487,
1557,
1627,7139.374725879476
1697,3177.515565128799
1767,4253.431045228682
