id,rh98
17,0
53,113
89,74445
125,17463
161,7105
197,77246
233,112064
269,141738
305,119247
341,189416
377,158783
413,113891
449,16601
485,15190
521,19550
557,0
593,0
629,0
665,0
701,24233
737,46533
773,3937
809,0
845,0
15,0
51,123034
87,195138
123,161696
159,175539
195,36027
231,0
267,0
303,0
339,1706
375,0
411,34297
447,311
483,57272
519,138394
555,0
591,0
627,0
663,132944
699,33649
735,12917
771,30371
807,199069
843,185950
13,49229
49,137610
85,207797
121,161784
157,126936
193,161370
229,1
265,43064
301,16927
337,0
373,442
409,66835
445,0
481,0
517,0
553,143936
589,9344
625,63470
661,149808
697,26959
733,11802
769,155125
805,130203
841,146287
11,0
47,120513
83,142373
119,161778
155,199924
191,246999
227,141312
263,66165
299,4172
335,442
371,0
407,32260
443,0
479,135586
515,108088
551,41661
587,0
623,141052
659,159503
695,225064
731,153217
767,149899
803,53161
839,14104
9,5715
45,148871
81,86584
117,51884
153,38948
189,186792
225,132138
261,189139
297,107937
333,204069
369,24099
405,324
441,174506
477,143303
513,1247
549,131284
585,169389
621,181450
657,168601
693,146013
729,174081
765,155490
801,39643
837,0
7,0
43,0
79,0
115,0
151,0
187,139156
223,250972
259,250059
295,182211
331,160110
367,217063
403,176824
439,124648
475,62940
511,208551
547,164687
583,181325
619,185278
655,162182
691,111364
727,144373
763,159116
799,142280
835,2422
5,0
41,0
77,0
113,27412
149,121031
185,164037
221,200681
257,233277
293,187045
329,206419
365,262156
401,199664
437,168616
473,193919
509,198575
545,172627
581,185436
617,200451
653,147759
689,144388
725,168131
761,152533
797,152923
833,123780
3,0
39,0
75,203
111,0
147,8885
183,87108
219,283338
255,278046
291,246150
327,228179
363,195039
399,232095
435,227958
471,237476
507,238778
543,272696
579,285926
615,277429
651,283591
687,234595
723,174708
759,135074
795,118124
831,143101
1,375917
37,523
73,0
109,305739
145,594065
181,678383
217,319898
253,46718
289,499429
325,633488
361,640756
397,649414
433,628374
469,674230
505,628385
541,596027
577,574460
613,576957
649,549683
685,559567
721,545410
757,553347
793,545021
829,525240
36,87
72,57442
108,128409
144,92669
180,180689
216,162274
252,135789
288,153303
324,143485
360,154692
396,158519
432,48496
468,0
504,0
540,0
576,0
612,0
648,0
684,3
720,0
756,0
792,0
828,0
34,68959
70,0
106,25904
142,0
178,0
214,61691
250,119629
286,119863
322,146342
358,137193
394,128498
430,75406
466,0
502,6115
538,0
574,0
610,0
646,0
682,6624
718,2763
754,782
790,26825
826,28227
32,97612
68,228651
104,151121
140,164631
176,182495
212,0
248,0
284,0
320,0
356,0
392,157
428,0
464,15488
500,73489
536,56196
572,0
608,0
644,35689
680,134537
716,39051
752,22913
788,169510
824,210472
30,137450
66,148828
102,172167
138,125719
174,167087
210,87982
246,0
282,17729
318,0
354,0
390,164346
426,0
462,6
498,0
534,108917
570,17502
606,6069
642,184450
678,94442
714,21257
750,67029
786,107117
822,136263
28,114364
64,96336
100,177205
136,176870
172,205452
208,170531
244,190782
280,10777
316,0
352,0
388,81029
424,34
460,176320
496,121216
532,61404
568,0
604,62742
640,154584
676,211442
712,155490
748,165854
784,115466
820,0
26,1427
62,6533
98,1175
134,6
170,31860
206,200475
242,157848
278,201579
314,295866
350,168728
386,21848
422,216066
458,139250
494,0
530,159688
566,207620
602,161267
638,181392
674,161802
710,179059
746,133563
782,166927
818,0
24,0
60,0
96,0
132,0
168,17848
204,193562
240,187588
276,203942
312,216920
348,149028
384,159867
420,179296
456,173797
492,191107
528,215467
564,161237
600,166794
636,155791
672,165966
708,146534
744,166308
780,127280
816,95011
22,0
58,0
94,6397
130,190748
166,199861
202,182912
238,173859
274,192609
310,218801
346,243046
382,212727
418,240559
454,210662
490,173550
