id,agbd
33,
103,
173,
243,
313,
383,21.28282828282828
453,
523,
593,
663,
733,10.828608351506338
803,13.180473372781066
873,10.0
943,54.0
1013,16.0
1083,13.332899031736018
1153,13.41262658909718
1223,19.27983806323319
1293,13.385552220075155
1363,72.0
1433,20.0
1503,12.434627408376384
1573,16.46315789473684
1643,9.079882669726384
1713,8.488265907305577
1783,
1853,
1923,
1993,33.0
2063,
2133,
2203,
2273,
2343,
2413,
2483,
2553,
2623,
2693,36.375
2763,44.5
2833,
2903,
2973,12.0
3043,
3113,
3183,
3253,
29,
99,38.31778404977596
169,
239,36.47948933643426
309,41.42630972056732
379,45.42414947016173
449,12.484567599029557
519,27.99293673937972
589,43.32836548805852
659,
729,18.545454545454547
799,
869,
939,
1009,
1079,
1149,
1219,
1289,
1359,
1429,
1499,
1569,
1639,
1709,
1779,37.666666666666664
1849,36.54120803356759
1919,34.63336521524074
1989,37.042757296915504
2059,89.0
2129,
2199,
2269,
2339,
2409,
2479,37.42279411764706
2549,
2619,73.56004517505333
2689,37.43457163056752
2759,16.562091503267975
2829,35.171224138887354
2899,
2969,65.23728813559322
3039,64.33333333333333
3109,65.33408766079086
3179,33.42251502426513
3249,23.065757523014256
25,
95,54.869583365759446
165,51.320774398915994
235,22.540650004124394
305,18.897330278605427
375,30.5
445,14.551020408163266
515,12.478260869565217
585,10.463953541127896
655,38.21749406830707
725,38.400020532647446
795,51.431515601952086
865,
935,
1005,67.608
1075,32.47671232876712
1145,44.49794776119403
1215,
1285,
1355,
1425,
1495,35.003930200487964
1565,54.86084909543862
1635,
1705,
1775,
1845,
1915,
1985,
2055,44.0
2125,49.40291915300603
2195,
2265,12.0
2335,
2405,53.306451612903224
2475,59.29010080237156
2545,91.5998427672956
2615,29.868647559014807
2685,60.5
2755,40.52
2825,30.0
2895,28.0
2965,71.14617895703046
3035,38.4472773193724
3105,43.318931775952464
3175,55.169844912514094
3245,21.501143601977326
21,
91,59.35574628148092
161,49.46443514644351
231,43.27950440249148
301,37.927608974750875
371,14.416373183069732
441,35.076711773976285
511,19.00726632109566
581,69.45454603719892
651,22.52051081353927
721,27.769811320754716
791,22.162461538461535
861,28.03812192536469
931,55.185644827385126
1001,91.49365317571467
1071,59.577235772357724
1141,
1211,
1281,
1351,
1421,
1491,42.0
1561,83.44686140915725
1631,
1701,
1771,35.0
1841,43.12109810919126
1911,59.52488934679021
1981,43.12141242980841
2051,38.51677852348993
2121,100.55
2191,
2261,
2331,
2401,59.332727823191036
2471,22.209665700079015
2541,38.36492475455432
2611,36.52
2681,115.45569620253164
2751,171.48704649958108
2821,145.65873015873015
2891,55.18053548338024
2961,26.51890387417342
3031,147.48673545602924
3101,110.0
3171,
3241,
17,
87,
157,85.52023121387283
227,85.4
297,100.5
367,53.204819277108435
437,
507,59.0
577,
647,
717,70.425
787,83.48307692307692
857,43.24309229581
927,51.21027131782946
997,99.61594742237638
1067,51.23969326124361
1137,43.0
1207,46.48523206751055
1277,54.70768023973338
1347,75.49370969895129
1417,87.50236338978219
1487,
1557,
1627,133.4814814814815
1697,60.605541917476536
1767,99.43963750025372
1837,45.41214924468774
1907,43.0
1977,
2047,24.464788732394368
2117,20.45662100456621
2187,36.46702037863258
2257,87.78344435103148
2327,147.49789029535864
2397,99.420245398773
2467,73.6
2537,109.552
2607,67.43719326805679
2677,36.44660194174757
2747,37.43751452349567
2817,43.09989172143916
