id,agbd
33,
103,
173,
243,
313,
383,2853.571118001732
453,
523,
593,
663,
733,816.2279241136547
803,6654.547780683999
873,899.227430675213
943,1615.8747103673127
1013,977.7687136019163
1083,1050.6259337784195
1153,1469.3194893617022
1223,928.5301980177821
1293,1042.5272837053612
1363,226.11887495764148
1433,235.4617823113596
1503,387.07627440237025
1573,606.2982891589481
1643,356.09751416406857
1713,146.787291879035
1783,
1853,128.91666666666666
1923,
1993,512.0756405197538
2063,
2133,
2203,
2273,
2343,
2413,
2483,
2553,
2623,
2693,663.9483063884132
2763,7499.160183943284
2833,
2903,
2973,157.66666666666666
3043,
3113,
3183,
3253,
29,
99,1970.4504372687745
169,247.93212088353093
239,1372.859061600912
309,2194.7207635954724
379,1773.3918108640612
449,1427.577897660855
519,1828.4159751043278
589,4772.191874372255
659,1109.2343261137298
729,1729.3483851201845
799,
869,
939,
1009,
1079,
1149,
1219,
1289,
1359,
1429,
1499,
1569,
1639,
1709,
1779,4239.3795926137445
1849,1190.1287465254525
1919,1250.8987689672742
1989,2107.7292373248147
2059,3044.2701125362028
2129,
2199,
2269,
2339,
2409,
2479,841.345756343016
2549,1846.3191437756755
2619,5196.595280128139
2689,1725.6168302273982
2759,1312.9488876952496
2829,5592.664468038068
2899,
2969,3243.7413233786556
3039,2872.7697860106096
3109,5266.680311098797
3179,3977.9543596685808
3249,2185.2224363620235
25,
95,3282.143925745082
165,1430.7764045595218
235,577.0435449087935
305,730.645017243624
375,1118.9868595150024
445,918.1441787481217
515,767.2184943362504
585,781.3033636614282
655,1269.688967409514
725,1906.1802949603823
795,2417.9274037745463
865,
935,
1005,3280.955308505919
1075,1117.566561854615
1145,998.6522818670217
1215,
1285,
1355,
1425,
1495,771.388286622897
1565,3123.9875663693833
1635,
1705,
1775,
1845,
1915,
1985,
2055,1329.4732620320856
2125,3814.2801029989328
2195,
2265,532.3128394654348
2335,
2405,1751.756959513957
2475,4489.09428766931
2545,7839.184566482381
2615,2413.136552726016
2685,3882.9849462365596
2755,
2825,966.5575608595929
2895,243.4631578947368
2965,5500.81428756293
3035,7716.491657295586
3105,6034.9237553726125
3175,10712.63856104629
3245,10622.902711376119
21,
91,4688.233807053514
161,3782.36024389632
231,1543.651881541145
301,2505.541855518508
371,804.0408045719446
441,990.6667834074601
511,1537.4554805368516
581,3763.7741431459312
651,1637.0710842862884
721,3934.730396216503
791,1357.6014136740557
861,2150.8438993299287
931,4713.416692924501
1001,3469.1691828743633
1071,957.823553982955
1141,
1211,
1281,
1351,
1421,
1491,762.8261571039629
1561,4767.37987268967
1631,
1701,
1771,123.37878787878782
1841,3362.282522595105
1911,5872.190951905824
1981,5376.098290560878
2051,1800.5367933584398
2121,2585.8927264138465
2191,
2261,
2331,
2401,4402.17664110024
2471,7758.826953834324
2541,4661.913314462469
2611,2465.797404771514
2681,7080.399360247066
2751,9754.5039788269
2821,7528.991201953639
2891,2750.3836505676295
2961,2299.090614774688
3031,3536.0228074132997
3101,
3171,
3241,
17,
87,
157,6481.3774788998135
227,5341.254482991297
297,7983.218188161226
367,8206.216733870968
437,
507,
577,
647,
717,12680.926846563392
787,44464.91333247766
857,6988.643398338689
927,3211.1911483083545
997,6384.917940586562
1067,2748.528974889206
1137,1179.6915598156857
1207,1582.8252235705556
1277,829.9726417319955
1347,4416.342250380045
1417,5697.819084355054
1487,
1557,
1627,5477.2927570456195
