system:index,bottom,id,left,rh98,right,top,.geo
00000000000000000010,35.005,17,-10.005,{null=1.1924964E7},-8.850299461620748,36.005,"{""type"":""Polygon"",""coordinates"":[[[-9.71632324685921,36.004998090852084],[-9.734365609746126,35.9737481651461],[-9.752407902706809,35.94249822455451],[-9.770450288293544,35.91124829414677],[-9.78849267386538,35.87999833746394],[-9.806535051843,35.848748393401245],[-9.824577414649537,35.81749841844403],[-9.842619754710606,35.78624853388135],[-9.860662064454301,35.75499861368526],[-9.878704421514435,35.72374860708639],[-9.89674681837774,35.69249871783387],[-9.914789162294342,35.66124874413004],[-9.932831530958996,35.62999880014887],[-9.950873916865598,35.59874892459965],[-9.968916227218099,35.56749891532768],[-9.986958625082101,35.53624904469347],[-10.005000932356348,35.50499911750236],[-9.986958625082101,35.4737491203531],[-9.9689162272181,35.442499210760666],[-9.950873916865598,35.41124924881461],[-9.932831530958994,35.37999928838206],[-9.914789162294342,35.34874936211797],[-9.89674681837774,35.31749942685622],[-9.878704421514435,35.28624952926364],[-9.8606620644543,35.25499961900752],[-9.842619754710608,35.223749652666996],[-9.824577414649537,35.19249967670594],[-9.806535051843,35.161249730609825],[-9.788492673865381,35.129999853881884],[-9.770450288293544,35.09874991972228],[-9.752407902706809,35.067499967466084],[-9.734365609746126,35.03625002960714],[-9.716323246859208,35.00500007598975],[-9.680239106915733,35.005000045529876],[-9.644154948273384,35.005000063932926],[-9.608070746978106,35.00500005451709],[-9.571986564156811,35.00500010035871],[-9.535902460975953,35.0050000347379],[-9.499818244177233,35.00500004413702],[-9.463734144906788,35.00500003168279],[-9.427649970318381,35.0050001004388],[-9.391565782181145,35.00500008350916],[-9.355481642304547,35.005000063965596],[-9.319397443267887,35.005000054683656],[-9.283313331783193,35.00500004887181],[-9.247229116213079,35.005000065783],[-9.211144943501324,35.00500009862053],[-9.175060791513035,35.005000070232285],[-9.138976638305527,35.00500007009174],[-9.120934327542697,35.03625003542196],[-9.102891955681685,35.06749999099079],[-9.084849615007489,35.098749892278626],[-9.066807228991959,35.12999979074074],[-9.048764889887055,35.16124972503761],[-9.030722521208068,35.192499663218534],[-9.012680130861733,35.223749650154765],[-8.994637811050197,35.25499955807378],[-8.976595401080584,35.286249527506996],[-8.95855307743374,35.317499424404566],[-8.940510679499138,35.3487493890788],[-8.922468383685574,35.379999287527],[-8.904426029465037,35.41124925984132],[-8.886383624820661,35.44249918450184],[-8.868341261895505,35.47374909976461],[-8.850298948619681,35.504999050025745],[-8.868341261895504,35.53624897769658],[-8.886383624820663,35.567498974464165],[-8.90442602946504,35.598748917722766],[-8.922468383685574,35.629998856800746],[-8.940510679499138,35.66124875197224],[-8.95855307743374,35.6924987163204],[-8.976595401080582,35.7237486398146],[-8.994637811050195,35.754998552645745],[-9.012680130861733,35.786248510124786],[-9.03072252120807,35.81749845958477],[-9.048764889887055,35.84874836737489],[-9.066807228991957,35.879998358493204],[-9.084849615007489,35.911248303935146],[-9.102891955681683,35.94249817005117],[-9.120934327542699,35.97374815750753],[-9.138976638305527,36.0049980677339],[-9.175060791513035,36.004998060306136],[-9.211144943501324,36.00499805837593],[-9.247229116213079,36.004998055750725],[-9.283313331783193,36.00499804617805],[-9.319397443267887,36.00499811886446],[-9.355481642304547,36.00499808971868],[-9.391565782181145,36.00499804794774],[-9.427649970318381,36.00499806283161],[-9.463734144906788,36.004998052318946],[-9.499818244177233,36.00499809899806],[-9.535902460975954,36.00499810060125],[-9.571986564156813,36.004998070899795],[-9.608070746978106,36.004998072029835],[-9.644154948273384,36.00499810415047],[-9.680239106915732,36.004998085222404],[-9.71632324685921,36.004998090852084]]]}"
00000000000000000034,35.005,53,-8.272949192431122,{null=1.192496E7},-7.11824865405187,36.005,"{""type"":""Polygon"",""coordinates"":[[[-8.272947913220536,35.50499906187236],[-8.254905793355844,35.47374910838963],[-8.236863746737342,35.44249921205746],[-8.218821614690016,35.41124925776875],[-8.200779572376188,35.3799993566799],[-8.182737461208225,35.34874939341618],[-8.16469537289534,35.31749948484397],[-8.146653315711267,35.28624950401998],[-8.128611214597052,35.25499957911475],[-8.11056916120854,35.22374966062702],[-8.09252708053353,35.192499710159055],[-8.074484980918708,35.161249766923056],[-8.056442953966291,35.12999986460345],[-8.03840084150243,35.09874988671477],[-8.02035873515568,35.067499950213694],[-8.002316726474366,35.036250005298285],[-7.984274574248,35.00500010756107],[-7.948190205628645,35.00500008914125],[-7.9121056967406105,35.005000081452486],[-7.876021281161145,35.00500007299311],[-7.839936860169167,35.00500007402496],[-7.803852418385012,35.00500008930626],[-7.767767940643313,35.0050000399958],[-7.731683494868648,35.00500009255971],[-7.695599066198762,35.00500008458678],[-7.659514639987137,35.00500010426994],[-7.623430201803698,35.00500007263549],[-7.587345737435513,35.00500007778845],[-7.551261315548592,35.005000119077856],[-7.51517692223706,35.005000033871916],[-7.479092461238842,35.00500008248179],[-7.443008001747328,35.00500009702717],[-7.406923613002732,35.005000076845825],[-7.388881497735641,35.0362500345522],[-7.370839446736135,35.067499966612424],[-7.352797303810608,35.09874992835751],[-7.334755242546095,35.129999787995665],[-7.316713189221079,35.16124976270639],[-7.298671070204466,35.192499735598325],[-7.280628976625894,35.22374966334472],[-7.262586917217175,35.2549995909899],[-7.244544818421923,35.286249485073874],[-7.226502771312868,35.31749946887448],[-7.208460702383548,35.348749425485636],[-7.19041862044361,35.37999931643618],[-7.17237653430573,35.41124926970516],[-7.154334452785574,35.442499163486815],[-7.1362923847018145,35.47374912558344],[-7.1182502567397234,35.50499903903916],[-7.1362923847018145,35.53624900982095],[-7.154334452785574,35.56749894274037],[-7.17237653430573,35.598748876557224],[-7.19041862044361,35.62999885476244],[-7.208460702383548,35.661248754813805],[-7.226502771312868,35.69249870309368],[-7.244544818421923,35.72374865995113],[-7.262586917217175,35.75499858077968],[-7.280628976625894,35.78624851372791],[-7.298671070204466,35.81749841409195],[-7.316713189221079,35.84874840764455],[-7.334755242546095,35.879998294076955],[-7.352797303810608,35.91124827673492],[-7.370839446736135,35.94249822792229],[-7.388881497735641,35.97374811790038],[-7.406923613002732,36.0049980618265],[-7.443008001747328,36.00499805822462],[-7.479092461238842,36.00499808438799],[-7.51517692223706,36.00499805842582],[-7.551261315548592,36.004998063642674],[-7.587345737435513,36.00499809035859],[-7.623430201803698,36.00499805145289],[-7.659514639987137,36.004998112698765],[-7.695599066198762,36.0049981044189],[-7.731683494868648,36.004998104525434],[-7.767767940643313,36.00499810833344],[-7.803852418385012,36.00499811110835],[-7.839936860169167,36.00499811350069],[-7.876021281161145,36.004998110760035],[-7.9121056967406105,36.00499809808551],[-7.948190205628645,36.004998065106285],[-7.984274574248,36.004998105979],[-8.002316726474366,35.97374811902647],[-8.02035873515568,35.9424982008107],[-8.03840084150243,35.91124829119418],[-8.056442953966291,35.87999835217189],[-8.074484980918708,35.84874842833379],[-8.09252708053353,35.81749846479022],[-8.11056916120854,35.78624850605881],[-8.128611214597052,35.7549985910761],[-8.146653315711267,35.723748670364785],[-8.16469537289534,35.69249870563122],[-8.182737461208225,35.66124872999695],[-8.200779572376188,35.629998865104206],[-8.218821614690016,35.598748906867826],[-8.236863746737342,35.567498965444415],[-8.254905793355844,35.53624900804004],[-8.272947913220536,35.50499906187236]]]}"
00000000000000000058,35.005,89,-6.540898384862246,"{null=1.1880164E7, 7.0=37.0, 3.0=4264.0, 6.0=160.0, 8.0=12.0, 5.0=502.0, 9.0=30.0, 4.0=1599.0, 1.0=25369.0, 2.0=12825.0}",-5.386197846482993,36.005,"{""type"":""Polygon"",""coordinates"":[[[-6.540899305920372,35.50499908589767],[-6.522856878036962,35.47374913897683],[-6.504814533419215,35.44249921081903],[-6.486772199857079,35.411249261902384],[-6.4687298052363,35.37999933585729],[-6.450687440129624,35.34874938423364],[-6.4326451137478085,35.31749944624496],[-6.414602754055822,35.2862494819996],[-6.396560370340575,35.25499961406561],[-6.378518053094432,35.223749626896314],[-6.360475649182933,35.19249973506231],[-6.3424333302836615,35.161249802054996],[-6.324390943362072,35.129999791762636],[-6.306348578899942,35.09874990607914],[-6.288306246203379,35.067499933126584],[-6.270263873520104,35.036249999620175],[-6.252221551271121,35.00500005656329],[-6.216137338313793,35.00500007373977],[-6.180053195806542,35.00500008412649],[-6.143969036993798,35.005000095119755],[-6.107884856399424,35.0050001099079],[-6.071800729590342,35.00500004385672],[-6.035716570678906,35.005000071666956],[-5.999632374916977,35.00500011267572],[-5.9635482184578255,35.00500008221144],[-5.92746409689782,35.00500006711713],[-5.891379925516998,35.00500007435574],[-5.855295781059407,35.00500010299114],[-5.819211579393463,35.00500007609225],[-5.783127397659825,35.00500007647512],[-5.747043313052442,35.00500010326195],[-5.71095908154486,35.00500008696035],[-5.674874941561563,35.00500010280337],[-5.656832569051744,35.03625003684385],[-5.638790248765072,35.06749993073295],[-5.620747910220058,35.09874991733426],[-5.6027054830367655,35.12999979456536],[-5.584663137377133,35.161249767681184],[-5.566620802843456,35.19249971828216],[-5.548578409139884,35.22374961163699],[-5.530536046218093,35.25499957277644],[-5.512493723886423,35.28624947963481],[-5.49445137193329,35.3174994643862],[-5.476409000248004,35.34874940493123],[-5.458366618723344,35.37999934616854],[-5.440324317204397,35.411249245895696],[-5.422281945668269,35.44249923946677],[-5.404239593991749,35.473749117837556],[-5.386197192207139,35.50499909594029],[-5.404239593991748,35.53624900114369],[-5.422281945668269,35.56749898254488],[-5.440324317204398,35.59874891401518],[-5.458366618723344,35.629998843108545],[-5.476409000248004,35.66124880642155],[-5.49445137193329,35.69249868504645],[-5.512493723886423,35.72374860584483],[-5.530536046218093,35.75499861238604],[-5.548578409139885,35.786248495417645],[-5.566620802843456,35.81749846447758],[-5.584663137377133,35.84874840068901],[-5.6027054830367655,35.87999834372275],[-5.620747910220058,35.91124825020618],[-5.638790248765072,35.94249817085154],[-5.656832569051744,35.97374814503328],[-5.674874941561563,36.004998046422315],[-5.7109590815448605,36.00499806574003],[-5.747043313052442,36.0049981014668],[-5.783127397659825,36.00499807950755],[-5.819211579393463,36.0049980681678],[-5.855295781059407,36.00499806834643],[-5.891379925516999,36.004998081015664],[-5.92746409689782,36.00499809926106],[-5.963548218457825,36.00499804130572],[-5.999632374916977,36.00499806558673],[-6.035716570678905,36.00499808624772],[-6.071800729590342,36.00499810422299],[-6.107884856399424,36.00499811640481],[-6.143969036993798,36.00499811550859],[-6.1800531958065426,36.00499810244222],[-6.216137338313793,36.00499807398994],[-6.252221551271122,36.00499810538288],[-6.270263873520104,35.97374817584551],[-6.288306246203379,35.942498208499245],[-6.306348578899942,35.911248246714635],[-6.324390943362072,35.879998325385955],[-6.342433330283661,35.848748400796936],[-6.360475649182933,35.81749843341801],[-6.37851805309443,35.78624853658588],[-6.396560370340574,35.75499859209467],[-6.414602754055821,35.72374863025122],[-6.432645113747809,35.69249869430813],[-6.450687440129623,35.66124874018383],[-6.4687298052363,35.62999880239919],[-6.486772199857079,35.598748919820494],[-6.504814533419215,35.56749896945001],[-6.522856878036962,35.53624898563809],[-6.540899305920372,35.50499908589767]]]}"
0000000000000000007c,35.005,125,-4.808847577293367,"{null=1.1918533E7, 7.0=3.0, 6.0=3.0, 3.0=315.0, 9.0=9.0, 5.0=18.0, 8.0=1.0, 2.0=2580.0, 1.0=3448.0, 4.0=57.0}",-3.654147038914115,36.005,"{""type"":""Polygon"",""coordinates"":[[[-4.808846193930753,35.50499903986387],[-4.790804133836346,35.47374912865705],[-4.77276205135625,35.44249918385471],[-4.7547199569013845,35.411249244547825],[-4.736677860886346,35.37999934984612],[-4.718635773729359,35.3487493718257],[-4.7005937058523015,35.317499432993294],[-4.682551588800327,35.28624949186886],[-4.664509511934947,35.25499958436271],[-4.646467485688901,35.223749665819795],[-4.628425362894353,35.192499697481054],[-4.610383311699857,35.16124979584793],[-4.592341185049433,35.129999838320096],[-4.57429915099446,35.098749857669326],[-4.556257062590977,35.06749998241545],[-4.538215009121797,35.03624999689177],[-4.5201729224788,35.005000110392935],[-4.48408845637558,35.00500006629495],[-4.4480039853732345,35.00500005679995],[-4.411919594531378,35.005000080929186],[-4.3758351336682475,35.0050000623483],[-4.339750688439145,35.005000083908065],[-4.303666266232262,35.005000063515844],[-4.267581796434831,35.00500008960678],[-4.231497365362042,35.005000077252895],[-4.195412981222711,35.00500011211555],[-4.1593284962740045,35.00500011736095],[-4.123244075715854,35.005000089268044],[-4.087159650577773,35.00500011607625],[-4.051075230333041,35.005000115483284],[-4.014990746835229,35.0050000916546],[-3.9789062881189685,35.00500004355308],[-3.942821864492135,35.00500005667495],[-3.9247797809167526,35.036249972694705],[-3.9067377197441244,35.06749999262318],[-3.8886956143375357,35.09874991278739],[-3.8706535535323754,35.12999986001209],[-3.8526114707543337,35.16124979831134],[-3.8345693771671803,35.19249968921954],[-3.8165272839386537,35.223749661723],[-3.79848520224041,35.254999593520736],[-3.780443143248041,35.286249529763396],[-3.7624010406260338,35.31749943427517],[-3.744358983127799,35.348749349660686],[-3.7263169044807123,35.37999932322808],[-3.708274815958664,35.41124923269567],[-3.690232728839541,35.44249920643131],[-3.672190654405211,35.4737491221566],[-3.654148603941504,35.50499910805771],[-3.672190654405211,35.536249021628336],[-3.690232728839541,35.5674989397138],[-3.708274815958664,35.59874890654468],[-3.7263169044807123,35.62999879962145],[-3.744358983127799,35.66124874642073],[-3.7624010406260338,35.69249870768886],[-3.780443143248041,35.72374864176262],[-3.79848520224041,35.754998595002355],[-3.8165272839386537,35.786248525655886],[-3.8345693771671803,35.817498477511585],[-3.8526114707543337,35.848748411170064],[-3.8706535535323754,35.87999828725145],[-3.8886956143375357,35.91124823240321],[-3.9067377197441244,35.94249820455785],[-3.9247797809167526,35.97374816668583],[-3.942821864492135,36.00499807673183],[-3.9789062881189685,36.00499810730049],[-4.014990746835229,36.00499810248953],[-4.051075230333041,36.00499806071903],[-4.087159650577773,36.00499806593714],[-4.123244075715854,36.00499811392769],[-4.1593284962740045,36.00499812017282],[-4.195412981222711,36.00499808030657],[-4.231497365362042,36.004998080983704],[-4.267581796434831,36.004998115046305],[-4.303666266232262,36.00499809784589],[-4.339750688439145,36.00499811330353],[-4.3758351336682475,36.00499807396343],[-4.411919594531378,36.004998060877284],[-4.4480039853732345,36.00499807510723],[-4.48408845637558,36.00499810900602],[-4.5201729224788,36.00499808071146],[-4.538215009121797,35.97374814425341],[-4.556257062590978,35.94249823527295],[-4.574299150994461,35.911248307132595],[-4.592341185049433,35.87999831904615],[-4.610383311699857,35.84874838715576],[-4.628425362894354,35.81749847366175],[-4.6464674856889,35.78624852859346],[-4.664509511934947,35.754998597093525],[-4.682551588800327,35.7237486290216],[-4.700593705852301,35.69249866335864],[-4.718635773729358,35.66124874218846],[-4.736677860886346,35.629998818226234],[-4.7547199569013845,35.598748930409755],[-4.77276205135625,35.5674989510973],[-4.790804133836346,35.53624900240354],[-4.808846193930753,35.50499903986387]]]}"
000000000000000000a0,35.005,161,-3.076796769724489,"{null=1.1920533E7, 7.0=3.0, 3.0=119.0, 6.0=5.0, 9.0=1.0, 5.0=13.0, 8.0=1.0, 1.0=3613.0, 2.0=651.0, 4.0=23.0}",-1.922096231345237,36.005,"{""type"":""Polygon"",""coordinates"":[[[-3.076797527764362,35.50499911911679],[-3.0587551673911313,35.47374915547026],[-3.0407128406121147,35.442499164535036],[-3.022670482914877,35.411249270775635],[-3.0046281062403954,35.37999934604764],[-2.98658579883968,35.34874942736111],[-2.968543420021954,35.31749947372304],[-2.95050105807544,35.28624952207083],[-2.9324587249580873,35.25499961125249],[-2.9144163564414725,35.22374961442512],[-2.8963739645785314,35.19249973784363],[-2.8783316375593064,35.161249767071745],[-2.8602892351508564,35.129999828186],[-2.842246921655609,35.098749872406536],[-2.82420455696489,35.06749994193146],[-2.806162153240021,35.036249991411225],[-2.788119798634564,35.00500005764224],[-2.7520356647658453,35.005000044226236],[-2.715951492483563,35.00500006406609],[-2.6798673036283907,35.0050001179316],[-2.6437831960985783,35.00500003694966],[-2.607699040774081,35.005000077203704],[-2.5716148605824216,35.00500007139757],[-2.5355306787564316,35.00500010424293],[-2.499446518834743,35.005000092447894],[-2.4633624046622686,35.00500003672779],[-2.427278209588993,35.00500010882708],[-2.391194033771358,35.00500005582686],[-2.3551099021550352,35.005000046410984],[-2.3190257647721144,35.00500008268415],[-2.2829415722027733,35.0050000826487],[-2.246857425782896,35.0050000454638],[-2.210773276834248,35.005000057131625],[-2.1927309050515214,35.036250046665586],[-2.1746885523490556,35.067499936622006],[-2.1566461565379904,35.098749857868995],[-2.138603805400063,35.129999854473425],[-2.1205614368156915,35.16124980532204],[-2.102519063652943,35.192499671938414],[-2.0844767736168963,35.22374966599221],[-2.0664343550875772,35.25499958507005],[-2.0483920454440385,35.28624955429124],[-2.030349633256834,35.31749945504652],[-2.012307281021423,35.34874941358004],[-1.994264926952279,35.37999930873264],[-1.9762225840404826,35.41124926907779],[-1.9581801906614122,35.442499173406176],[-1.9401378344965465,35.47374914888121],[-1.9220955285508654,35.504999073093856],[-1.9401378344965465,35.536248982008466],[-1.9581801906614122,35.56749897684344],[-1.9762225840404826,35.59874885164252],[-1.994264926952279,35.629998818917734],[-2.012307281021423,35.66124875493603],[-2.030349633256834,35.6924987039727],[-2.0483920454440385,35.72374862563143],[-2.0664343550875772,35.75499856658506],[-2.0844767736168963,35.78624848380586],[-2.102519063652943,35.81749842515674],[-2.1205614368156915,35.84874843063503],[-2.138603805400063,35.87999829591864],[-2.1566461565379904,35.91124823113675],[-2.1746885523490556,35.942498195510765],[-2.1927309050515214,35.97374815096384],[-2.210773276834248,36.00499805673312],[-2.246857425782896,36.0049980891812],[-2.282941572202773,36.00499807545325],[-2.3190257647721144,36.00499809653122],[-2.3551099021550357,36.00499807028143],[-2.391194033771358,36.00499807765242],[-2.427278209588993,36.004998116518074],[-2.4633624046622686,36.004998103227855],[-2.4994465188347434,36.00499803868973],[-2.5355306787564316,36.00499808509257],[-2.5716148605824216,36.00499807575658],[-2.607699040774081,36.004998092940774],[-2.6437831960985783,36.00499805295778],[-2.6798673036283907,36.00499803807199],[-2.715951492483563,36.00499804415267],[-2.752035664765845,36.00499807208642],[-2.788119798634564,36.004998038132996],[-2.806162153240021,35.973748124750855],[-2.8242045569648897,35.942498204063135],[-2.8422469216556094,35.911248234115675],[-2.860289235150857,35.8799983372733],[-2.8783316375593064,35.84874838303358],[-2.896373964578531,35.817498414195725],[-2.9144163564414725,35.786248549499064],[-2.932458724958087,35.75499858040271],[-2.95050105807544,35.7237486292004],[-2.968543420021954,35.69249873317112],[-2.98658579883968,35.6612487648176],[-3.0046281062403954,35.62999884835056],[-3.0226704829148776,35.598748852304716],[-3.0407128406121147,35.567498984294964],[-3.0587551673911313,35.53624903310593],[-3.076797527764362,35.50499911911679]]]}"
000000000000000000c4,35.005,197,-1.344745962155612,"{null=1.1883689E7, 7.0=12.0, 6.0=9.0, 3.0=842.0, 4.0=178.0, 5.0=79.0, 1.0=34242.0, 9.0=7.0, 2.0=5901.0, 8.0=2.0}",-0.19004542377636,36.005,"{""type"":""Polygon"",""coordinates"":[[[-1.3447444863072502,35.504999062684526],[-1.3267023808677356,35.47374915297546],[-1.3086603369209513,35.44249920869626],[-1.2906182212434163,35.41124927031415],[-1.2725761946446987,35.37999929147521],[-1.2545340506245437,35.34874939700194],[-1.2364920233520644,35.31749945604754],[-1.2184499065261492,35.28624950960822],[-1.2004078608187325,35.25499959494136],[-1.182365753509192,35.22374966843803],[-1.1643236718985353,35.19249968418571],[-1.146281629943352,35.16124976468419],[-1.1282394952230892,35.129999866088816],[-1.1101974282133336,35.09874985773237],[-1.0921553697581254,35.067499946721455],[-1.0741132608336739,35.036250004313715],[-1.0560711886762415,35.00500006832359],[-1.0199867729952266,35.00500007397264],[-0.9839023095170074,35.00500007062986],[-0.9478179119984205,35.00500005783704],[-0.9117334758540244,35.00500003688641],[-0.8756489700939968,35.00500009245445],[-0.8395645823635336,35.005000055498776],[-0.8034801370585236,35.005000095789796],[-0.7673956773404632,35.00500004528037],[-0.731311246712967,35.005000072173516],[-0.695226816601549,35.005000092953836],[-0.6591423590344757,35.005000108106444],[-0.6230579189348203,35.005000117694046],[-0.5869734693453278,35.0050000381046],[-0.5508890560753734,35.00500003751935],[-0.5148045810916639,35.005000116651495],[-0.4787201633190704,35.005000107113304],[-0.46067806707154013,35.03624997924369],[-0.44263599373150037,35.06749995660016],[-0.42459395823780793,35.09874991665985],[-0.40655183173971926,35.12999982145799],[-0.38850977311347396,35.16124979985096],[-0.3704676536509602,35.19249972981263],[-0.3524256321075451,35.2237496562232],[-0.33438350815236745,35.254999541121904],[-0.31634144051876895,35.286249513058614],[-0.29829937258301037,35.317499449730626],[-0.2802573195254044,35.34874939619938],[-0.26221522489868593,35.37999931389353],[-0.2441731039936707,35.411249247724356],[-0.22613104367343534,35.4424992423626],[-0.2080889876068285,35.473749175489466],[-0.19004687960118452,35.504999091998165],[-0.2080889876068285,35.53624905447681],[-0.22613104367343534,35.56749892004094],[-0.2441731039936707,35.59874890011306],[-0.26221522489868593,35.62999878858698],[-0.2802573195254044,35.661248796880635],[-0.29829937258301037,35.6924987191169],[-0.31634144051876895,35.72374859948969],[-0.3343835081523674,35.754998565531444],[-0.35242563210754496,35.78624849454362],[-0.3704676536509602,35.81749843105184],[-0.388509773113474,35.848748418401875],[-0.40655183173971926,35.87999833458629],[-0.42459395823780793,35.911248306209956],[-0.44263599373150037,35.94249821131813],[-0.46067806707154013,35.97374817628236],[-0.4787201633190704,36.0049980786284],[-0.5148045810916639,36.00499808096837],[-0.5508890560753734,36.004998067953366],[-0.5869734693453278,36.00499803986011],[-0.6230579189348203,36.00499807899604],[-0.6591423590344757,36.00499810226591],[-0.695226816601549,36.00499810922037],[-0.731311246712967,36.00499809979708],[-0.7673956773404632,36.00499807350621],[-0.8034801370585235,36.00499811282843],[-0.8395645823635336,36.00499805161984],[-0.8756489700939967,36.00499805586932],[-0.9117334758540244,36.00499804087017],[-0.9478179119984205,36.00499809059414],[-0.9839023095170074,36.00499803836582],[-1.0199867729952266,36.00499804892424],[-1.0560711886762415,36.00499803971193],[-1.0741132608336739,35.97374813105566],[-1.0921553697581254,35.94249817173723],[-1.1101974282133336,35.91124828486913],[-1.1282394952230892,35.8799983429334],[-1.146281629943352,35.8487483844962],[-1.1643236718985353,35.817498450219105],[-1.182365753509192,35.786248494752016],[-1.2004078608187325,35.754998557285695],[-1.2184499065261494,35.72374867777003],[-1.2364920233520642,35.69249872727425],[-1.2545340506245437,35.661248746344434],[-1.2725761946446987,35.6299988551823],[-1.2906182212434163,35.598748928378676],[-1.3086603369209513,35.567498919127054],[-1.3267023808677356,35.53624903492723],[-1.3447444863072502,35.504999062684526]]]}"
000000000000000000e8,35.005,233,0.387304845413267,"{null=1.1886382E7, 7.0=7.0, 3.0=1265.0, 6.0=21.0, 9.0=3.0, 5.0=109.0, 8.0=1.0, 2.0=7269.0, 1.0=29495.0, 4.0=412.0}",1.542005383792519,36.005,"{""type"":""Polygon"",""coordinates"":[[[0.3873041204875804,35.504999107178676],[0.40534648908911497,35.47374910991869],[0.42338885492201145,35.44249922385486],[0.4414312029371655,35.41124923706795],[0.4594735900848995,35.37999935540221],[0.47751592939884757,35.348749366942855],[0.49555827790593593,35.31749947758468],[0.5136006206774131,35.28624947488404],[0.5316430149150393,35.25499956475381],[0.549685373641266,35.22374961863751],[0.5677277541340682,35.192499674853984],[0.5857700693612715,35.1612497723942],[0.6038124489328246,35.12999986530475],[0.6218548058599339,35.098749908548186],[0.6398971976705798,35.06749994025932],[0.6579395373214351,35.03624999933083],[0.675981882416318,35.00500003985895],[0.7120660230704958,35.00500008550301],[0.7481502260592859,35.00500004095046],[0.7842343746836495,35.00500007466602],[0.8203184976191393,35.00500010209113],[0.8564026968518123,35.00500003810336],[0.8924868569035673,35.00500005119632],[0.9285710080557625,35.00500005671102],[0.9646551811869548,35.005000053985306],[1.0007393348054072,35.00500004289764],[1.0368235007878566,35.00500010678566],[1.0729076385107583,35.00500007741713],[1.1089917808449354,35.00500003807644],[1.1450759612520345,35.00500007198401],[1.1811601404989382,35.00500009490887],[1.2172442796871814,35.00500010669653],[1.2533284870734318,35.005000105708916],[1.2713707743335778,35.03625005428446],[1.2894131656463144,35.06749996261372],[1.3074555002636055,35.09874987776074],[1.3254979113361902,35.12999984357157],[1.3435402380000678,35.16124973916525],[1.3615826135416844,35.192499692173605],[1.3796249506119311,35.223749664758124],[1.3976673090649592,35.25499961745206],[1.415709675192019,35.2862495116207],[1.4337520352892659,35.317499476105056],[1.4517943756577958,35.34874938842148],[1.4698367563905095,35.37999929266803],[1.4878790900739438,35.41124923459762],[1.505921510722396,35.44249917355016],[1.5239638570829777,35.47374915607325],[1.5420061893929273,35.50499905880943],[1.5239638570829777,35.53624901722015],[1.505921510722396,35.567498931798006],[1.4878790900739438,35.59874893144638],[1.4698367563905093,35.629998808475236],[1.4517943756577958,35.66124877596942],[1.4337520352892659,35.692498710569865],[1.4157096751920188,35.7237486574554],[1.3976673090649594,35.75499857752175],[1.3796249506119311,35.78624851492935],[1.3615826135416844,35.81749843051618],[1.3435402380000678,35.84874836913936],[1.3254979113361902,35.87999829073766],[1.3074555002636055,35.911248240820115],[1.2894131656463144,35.94249817847035],[1.2713707743335778,35.97374814902971],[1.2533284870734318,36.0049981115676],[1.2172442796871814,36.00499804303364],[1.1811601404989382,36.00499811694528],[1.1450759612520343,36.004998085904134],[1.1089917808449354,36.00499811610291],[1.0729076385107583,36.004998041682974],[1.0368235007878566,36.00499811254351],[1.0007393348054072,36.00499808039666],[0.9646551811869548,36.00499811141571],[0.9285710080557625,36.00499804027614],[0.8924868569035673,36.004998116169155],[0.8564026968518123,36.00499809069363],[0.8203184976191394,36.0049980474834],[0.7842343746836495,36.00499806917217],[0.7481502260592859,36.00499807381587],[0.7120660230704958,36.004998061922144],[0.675981882416318,36.00499811615829],[0.657939537321435,35.97374814496363],[0.6398971976705798,35.94249823219121],[0.6218548058599339,35.91124825144758],[0.6038124489328246,35.87999832480563],[0.5857700693612715,35.84874840885169],[0.5677277541340683,35.817498459337266],[0.549685373641266,35.786248516190675],[0.5316430149150393,35.754998618320535],[0.5136006206774131,35.723748638664304],[0.49555827790593593,35.692498699354175],[0.47751592939884757,35.66124875650726],[0.4594735900848995,35.629998849235506],[0.4414312029371655,35.59874885002416],[0.4233888549220115,35.567498964521334],[0.40534648908911497,35.53624898158177],[0.3873041204875804,35.504999107178676]]]}"
