id,rh98
17,0
53,0
89,16513
125,1470
161,3076
197,46994
233,814
269,3746
305,12110
341,14135
377,4586
413,20646
449,1788
485,0
521,64
557,0
593,0
629,0
665,0
701,5549
737,3803
773,5959
809,0
845,0
15,0
51,11285
87,67408
123,179167
159,46921
195,1193
231,0
267,0
303,0
339,2147
375,0
411,3449
447,28
483,79790
519,66229
555,0
591,0
627,0
663,7716
699,15193
735,23420
771,4954
807,36239
843,199982
13,8795
49,242449
85,94900
121,10887
157,52952
193,237056
229,0
265,25735
301,8591
337,0
373,284
409,84669
445,0
481,0
517,0
553,288791
589,1726
625,27882
661,249977
697,23677
733,636
769,137273
805,313889
841,5811
11,0
47,20877
83,57598
119,117721
155,53778
191,24204
227,185656
263,107812
299,0
335,0
371,0
407,22390
443,0
479,169269
515,139415
551,3014
587,0
623,232180
659,14436
695,123689
731,286611
767,28212
803,7181
839,21927
9,505
45,98728
81,112478
117,11238
153,55262
189,77280
225,76931
261,152481
297,9716
333,257762
369,45127
405,747
441,149926
477,74967
513,639
549,54883
585,191770
621,160496
657,124927
693,64330
729,24091
765,108405
801,3920
837,0
7,0
43,0
79,0
115,0
151,0
187,127510
223,13201
259,80347
295,281816
331,138937
367,24420
403,102474
439,143256
475,4595
511,118515
547,271737
583,39980
619,8155
655,256990
691,185413
727,47019
763,128899
799,49231
835,597
5,0
41,0
77,0
113,4620
149,68940
185,110354
221,26209
257,77114
293,264934
329,130109
365,41458
401,179884
437,219823
473,25541
509,187175
545,216645
581,34202
617,43862
653,117754
689,177786
725,55253
761,85738
797,125870
833,12883
3,0
39,0
75,10
111,0
147,2666
183,49416
219,61547
255,65489
291,73483
327,149483
363,153018
399,186496
435,146220
471,142849
507,159480
543,179921
579,168758
615,290526
651,312027
687,197025
723,87573
759,64958
795,105851
831,68748
1,145215
37,4537
73,0
109,123983
145,244563
181,296067
217,83477
253,3835
289,127110
325,226091
361,316701
397,450413
433,258846
469,289191
505,493280
541,277027
577,233539
613,320189
649,334404
685,417531
721,441766
757,414807
793,522241
829,358735
36,0
72,7705
108,60356
144,7388
180,1427
216,5
252,167
288,432
324,197
360,93
396,4306
432,1
468,0
504,0
540,0
576,0
612,0
648,0
684,0
720,0
756,0
792,0
828,0
34,0
70,0
106,21835
142,0
178,0
214,9973
250,12159
286,60559
322,59778
358,6095
394,30657
430,12443
466,0
502,327
538,0
574,0
610,0
646,0
682,2901
718,31
754,44
790,37079
826,50277
32,77110
68,65335
