id,rh98
17,0
53,0
89,35197
125,7332
161,1243
197,20913
233,17411
269,3513
305,4884
341,32003
377,10717
413,13378
449,1070
485,1
521,149
557,0
593,0
629,0
665,0
701,19545
737,21184
773,5668
809,0
845,0
15,0
51,46614
87,70282
123,104781
159,49593
195,3756
231,0
267,0
303,0
339,2886
375,0
411,6555
447,41
483,31855
519,73991
555,0
591,0
627,0
663,71874
699,18298
735,8335
771,16809
807,119925
843,94943
13,14289
49,147864
85,109246
121,53551
157,29829
193,107493
229,0
265,23692
301,2440
337,0
373,234
409,64461
445,0
481,0
517,0
553,173172
589,2545
625,39539
661,104558
697,23131
733,2433
769,79098
805,147948
841,35566
11,0
47,84756
83,61631
119,54565
155,77117
191,28375
227,90079
263,53640
299,0
335,0
371,0
407,25393
443,0
479,102831
515,83334
551,6743
587,0
623,127892
659,63156
695,132519
731,156105
767,28064
803,29336
839,5473
9,4103
45,91114
81,68895
117,40401
153,49671
189,75106
225,64594
261,115543
297,18513
333,174845
369,29900
405,149
441,125466
477,68121
513,513
549,60723
585,109706
621,103443
657,115824
693,47572
729,28827
765,53570
801,3870
837,0
7,0
43,0
79,0
115,0
151,0
187,68953
223,96912
259,97553
295,109345
331,98493
367,68094
403,61350
439,89174
475,6734
511,130093
547,109130
583,62061
619,14708
655,78291
691,163187
727,82591
763,79407
799,31652
835,1255
5,0
41,0
77,0
113,9879
149,57191
185,60975
221,56619
257,97584
293,128226
329,97989
365,98620
401,77293
437,149945
473,120933
509,131138
545,111545
581,79088
617,53104
653,49522
689,126522
725,167809
761,48838
797,59131
833,26081
3,0
39,0
75,29
111,0
147,2346
183,19780
219,82534
255,76392
291,79768
327,107396
363,148035
399,124492
435,142526
471,116927
507,95895
543,115520
579,184074
615,188928
651,222538
687,129176
723,70914
759,47643
795,44794
831,40094
1,122906
37,905
73,0
109,88133
145,180867
181,207977
217,64972
253,2384
289,92946
325,170508
361,219493
397,275972
433,163932
469,228418
505,350974
541,214769
577,197484
613,271314
649,309833
685,369688
721,354013
757,351060
793,417987
829,363491
36,0
72,20918
108,47729
144,4267
180,722
216,15
252,40
288,103
324,147
360,64
396,3617
432,806
468,0
504,0
540,0
576,0
612,0
648,0
684,0
720,0
756,0
792,0
828,0
34,0
70,0
106,26241
142,0
178,0
214,9635
250,31469
286,32337
322,34091
358,12124
394,27034
430,8258
466,0
502,272
538,0
574,0
610,0
646,0
682,2813
718,527
754,752
790,30399
826,35045
32,75404
