id,rh98
33,0
103,211
173,542
243,0
313,0
383,6294
453,0
523,0
593,0
663,0
733,35377
803,47797
873,3972
943,583
1013,8889
1083,55464
1153,124267
1223,128205
1293,37465
1363,895
1433,809
1503,32523
1573,52348
1643,95750
1713,11434
1783,0
1853,0
1923,0
1993,1757
2063,0
2133,0
2203,0
2273,0
2343,0
2413,0
2483,0
2553,0
2623,0
2693,345
2763,61
2833,0
2903,0
2973,12
3043,0
3113,0
3183,0
3253,0
29,0
99,19869
169,0
239,6803
309,40194
379,67075
449,132007
519,116561
589,36043
659,0
729,5291
799,0
869,0
939,0
1009,0
1079,0
1149,0
1219,0
1289,3
1359,0
1429,0
1499,0
1569,0
1639,0
1709,0
1779,207
1849,94235
1919,116565
1989,67401
2059,56
2129,0
2199,0
2269,0
2339,0
2409,0
2479,5717
2549,44
2619,1698
2689,16506
2759,15946
2829,13199
2899,0
2969,3109
3039,661
3109,5013
3179,25543
3249,79808
25,0
95,40070
165,87482
235,127194
305,82962
375,14981
445,4689
515,21975
585,68136
655,115959
725,128777
795,61335
865,0
935,0
1005,4388
1075,24553
1145,28487
1215,1863
1285,0
1355,0
1425,0
1495,13119
1565,76493
1635,0
1705,0
1775,0
1845,0
1915,0
1985,0
2055,233
2125,117623
2195,0
2265,4942
2335,0
2405,5748
2475,48286
2545,94552
2615,125200
2685,150
2755,988
2825,687
2895,354
2965,59904
3035,73966
3105,109290
3175,68497
3245,6506
21,0
91,42225
161,24253
231,15408
301,36854
371,99736
441,60451
511,64908
581,63891
651,30294
721,19800
791,61558
861,93641
931,94136
1001,85062
1071,10288
1141,0
1211,0
1281,93
1351,0
1421,0
1491,2598
1561,39740
1631,0
1701,0
1771,1840
1841,100085
1911,78385
1981,113016
2051,27228
2121,1582
2191,0
2261,0
2331,0
2401,54314
2471,59210
2541,20222
2611,7998
2681,33572
2751,101188
2821,53498
2891,81860
2961,81860
3031,10542
3101,5
3171,0
3241,0
17,0
87,0
157,14704
227,964
297,5810
367,4579
437,0
507,67
577,0
647,0
717,5747
787,37470
857,71435
927,92762
