id,rh98
33,0
103,321
173,257
243,0
313,0
383,21850
453,0
523,0
593,0
663,0
733,10525
803,13746
873,22321
943,41288
1013,32576
1083,39558
1153,43481
1223,30975
1293,47049
1363,33809
1433,47768
1503,34956
1573,29342
1643,23700
1713,3921
1783,0
1853,18
1923,0
1993,5074
2063,0
2133,0
2203,0
2273,0
2343,0
2413,0
2483,0
2553,0
2623,0
2693,144
2763,3276
2833,0
2903,0
2973,24
3043,0
3113,0
3183,0
3253,0
29,0
99,13716
169,39451
239,40941
309,55352
379,30803
449,24183
519,46321
589,45560
659,45633
729,36231
799,0
869,0
939,0
1009,0
1079,0
1149,0
1219,0
1289,2
1359,0
1429,0
1499,0
1569,0
1639,0
1709,0
1779,22
1849,25266
1919,25340
1989,41269
2059,5055
2129,48
2199,0
2269,0
2339,0
2409,0
2479,5138
2549,19407
2619,40809
2689,23666
2759,11796
2829,6353
2899,0
2969,7150
3039,31040
3109,59635
3179,46499
3249,51196
25,0
95,37211
165,39745
235,35109
305,39332
375,44521
445,46666
515,33107
585,35185
655,34938
725,45775
795,33981
865,1
935,0
1005,4720
1075,15808
1145,9859
1215,594
1285,0
1355,0
1425,0
1495,21358
1565,47997
1635,0
1705,0
1775,0
1845,0
1915,0
1985,0
2055,0
2125,44833
2195,0
2265,2213
2335,0
2405,10027
2475,47123
2545,47387
2615,36607
2685,294
2755,1766
2825,2467
2895,706
2965,43270
3035,31925
3105,27566
3175,49157
3245,36134
21,0
91,16414
161,24913
231,32192
301,21652
371,36610
441,51410
511,40970
581,51325
651,45125
721,53453
791,53526
861,38958
931,41179
1001,40898
1071,5411
1141,398
1211,0
1281,0
1351,0
1421,0
1491,1053
1561,22810
1631,0
1701,0
1771,937
1841,54757
1911,35663
1981,27204
2051,28388
2121,7160
2191,0
2261,0
2331,0
2401,34275
2471,31537
2541,39218
2611,44383
2681,66400
2751,35452
2821,37363
2891,55314
2961,30597
3031,41039
3101,0
3171,0
3241,0
17,0
87,0
157,20988
227,5987
297,4578
367,2198
