id,agbd
33,
103,
173,
243,
313,
383,46.52694120031731
453,
523,
593,
663,
733,24.969586374695865
803,30.09535848479945
873,23.92039497925854
943,45.33066019571422
1013,26.834280379086014
1083,24.554912794471935
1153,24.31272453839084
1223,22.806936358286695
1293,24.210452733983118
1363,17.636225620854145
1433,18.54790015320056
1503,23.04680319020529
1573,21.60914444027482
1643,18.115799520376
1713,14.8348623853211
1783,
1853,48.75
1923,
1993,39.28066914498141
2063,
2133,
2203,
2273,
2343,
2413,
2483,
2553,
2623,
2693,43.70722433460076
2763,45.7217865535915
2833,
2903,
2973,31.0
3043,
3113,
3183,
3253,
29,
99,52.758453677770554
169,21.20691118949677
239,40.10313060548771
309,47.59039847469108
379,56.35672462099808
449,22.9470940762322
519,39.686223070935995
589,62.22707288851213
659,34.92034574709009
729,37.00180006341133
799,
869,
939,
1009,
1079,
1149,
1219,
1289,
1359,
1429,
1499,
1569,
1639,
1709,
1779,67.20388349514563
1849,44.847823617493674
1919,45.09881235402069
1989,62.417803341276034
2059,83.77365438664182
2129,34.0
2199,
2269,
2339,
2409,
2479,51.24854752606099
2549,59.31605362282737
2619,76.26892220830975
2689,44.314089145112085
2759,26.834789176746238
2829,45.093613745314194
2899,
2969,78.45624564275106
3039,59.186600109474284
3109,79.79273951770405
3179,65.19697755479632
3249,38.270719864253735
25,
95,72.87963141110433
165,59.612793316029
235,26.73998310980094
305,28.11213870258419
375,43.94146903545605
445,38.21742479403082
515,24.132779382328213
585,19.046848908766073
655,47.162120002462515
725,57.75944591818457
795,74.14220359870876
865,
935,
1005,90.26865323137253
1075,45.952540106951865
1145,55.5699456079027
1215,
1285,
1355,
1425,
1495,47.78765508175806
1565,70.87808015543793
1635,
1705,
1775,
1845,
1915,
1985,
2055,71.74631233903065
2125,80.17690969705754
2195,
2265,23.563236152849182
2335,
2405,71.79184829568297
2475,76.09068206863044
2545,118.40378880461412
2615,46.31462352354191
2685,97.57738398776134
2755,54.0
2825,29.210607698312618
2895,27.9
2965,82.89963719459102
3035,69.17123323869437
3105,69.4895819981803
3175,80.21816559712855
3245,38.41032177911555
21,
91,84.63458134858716
161,74.63686010463014
231,61.97906973213036
301,49.88138233514821
371,24.956787837380514
441,41.976633396518956
511,32.08880128884685
581,80.04951713006895
651,32.076563137652016
721,34.94489253771413
791,30.529392597741644
861,38.15490178639836
931,65.26509708398041
1001,97.9920398506795
1071,62.920715888338115
1141,
1211,
1281,
1351,
1421,
1491,49.73329125204218
1561,90.93693801084872
1631,
1701,
1771,38.05718895661528
1841,81.08346793045136
1911,106.9278481052907
1981,70.7026395245845
2051,49.80648467707808
2121,66.43057629499322
2191,
2261,
2331,
2401,72.28150142249686
2471,71.1099820157851
2541,63.10549655967864
2611,43.81295711462575
2681,112.02988284999847
2751,187.162872523712
2821,152.68700325289112
2891,76.23695995710298
2961,43.94742059193848
3031,57.07432672325565
3101,
3171,
3241,
17,
87,
157,107.39949925367048
227,88.94554270007335
297,134.79935172990324
367,105.04715248009799
437,
507,82.0
577,
647,
717,108.92284818764178
787,159.69274918756037
857,79.68545736553462
927,81.3177973438435
997,125.14375950894497
1067,73.56927757548304
1137,51.87620473894758
1207,60.840170005637816
1277,53.49648516327675
1347,82.76986855713511
1417,111.14957432514171
1487,
1557,
1627,118.99051390337684
1697,97.17211986129797
1767,112.98548259831357
1837,68.28216938978001
1907,67.05126775997581
1977,
