id,rh98
17,0
53,226
89,65879
125,3733
161,13501
197,322962
233,7132
269,77929
305,484543
341,114659
377,43312
413,305528
449,57951
485,1122
521,18827
557,0
593,0
629,0
665,0
701,8062
737,7136
773,10444
809,0
845,0
15,0
51,19325
87,180725
123,525906
159,98394
195,6278
231,0
267,0
303,0
339,2333
375,0
411,11288
447,95
483,247407
519,160332
555,0
591,0
627,0
663,11301
699,33149
735,49439
771,7757
807,54028
843,361283
13,17892
49,418558
85,239668
121,39498
157,318510
193,481395
229,0
265,54580
301,74696
337,0
373,653
409,126128
445,0
481,0
517,0
553,386493
589,7943
625,40725
661,435879
697,29889
733,2191
769,188460
805,410549
841,15713
11,0
47,34410
83,194699
119,373175
155,120009
191,100767
227,425351
263,155184
299,0
335,763
371,0
407,29609
443,0
479,310416
515,254587
551,6445
587,0
623,333011
659,23458
695,163349
731,395995
767,110623
803,15110
839,41177
9,655
45,153843
81,148209
117,16660
153,67699
189,134103
225,231328
261,259626
297,43417
333,365758
369,50357
405,1042
441,219587
477,148807
513,1020
549,102850
585,247374
621,208054
657,204619
693,202770
729,161597
765,307462
801,32707
837,0
7,0
43,0
79,0
115,0
151,0
187,341780
223,23479
259,147120
295,544819
331,208363
367,46356
403,373104
439,382442
475,34219
511,146588
547,433097
583,108285
619,104535
655,548994
691,280464
727,67623
763,297769
799,281232
835,10399
5,0
41,0
77,0
113,11258
149,185388
185,424439
221,90751
257,184757
293,550883
329,259191
365,75013
401,365775
437,300369
473,48809
509,219784
545,467070
581,138581
617,134963
653,409745
689,312464
725,62962
761,393825
797,422421
833,76363
3,0
39,0
75,46
111,0
147,9839
183,203719
219,213200
255,267487
291,354916
327,306928
363,359026
399,366448
435,277188
471,297616
507,365996
543,382873
579,328202
615,468432
651,427665
687,384815
723,262738
759,271080
795,378813
831,298452
1,334388
37,19680
73,0
109,346538
145,746008
181,885439
217,404804
253,49163
289,668296
325,827487
361,781285
397,903669
433,875036
469,850462
505,830993
541,879158
577,831231
613,789600
649,775657
685,836667
721,856212
757,767655
793,754424
829,656915
36,806
72,26852
108,220923
144,235781
180,64063
216,200735
252,216184
288,225407
324,141255
360,333938
396,220947
432,15253
468,0
504,0
540,0
576,0
612,0
648,0
684,0
720,0
756,0
792,0
828,0
34,113925
70,0
106,41527
142,0
178,0
214,68197
250,26187
286,287212
322,326318
358,24876
394,183269
430,202016
466,0
502,1855
538,0
574,0
610,0
646,0
